"X26095110_tmax.Date","X26095110_tmax.Value"
"1977-10-25",28.3555555555556
"1977-11-25",NA
"1977-12-25",NA
"1978-01-25",NA
"1978-02-25",NA
"1978-03-25",NA
"1978-04-25",NA
"1978-05-25",NA
"1978-06-25",NA
"1978-07-25",NA
"1978-08-25",NA
"1978-09-25",NA
"1978-10-25",NA
"1978-11-25",NA
"1978-12-25",NA
"1979-01-25",NA
"1979-02-25",NA
"1979-03-25",NA
"1979-04-25",NA
"1979-05-25",NA
"1979-06-25",27.3777777777778
"1979-07-25",NA
"1979-08-25",NA
"1979-09-25",NA
"1979-10-25",NA
"1979-11-25",NA
"1979-12-25",NA
"1980-01-25",NA
"1980-02-25",NA
"1980-03-25",NA
"1980-04-25",NA
"1980-05-25",NA
"1980-06-25",NA
"1980-07-25",NA
"1980-08-25",NA
"1980-09-25",NA
"1980-10-25",NA
"1980-11-25",NA
"1980-12-25",NA
"1981-01-25",NA
"1981-02-25",NA
"1981-03-25",NA
"1981-04-25",29.4888888888889
"1981-05-25",NA
"1981-06-25",NA
"1981-07-25",NA
"1981-08-25",31.0888888888889
"1981-09-25",28.6888888888889
"1981-10-25",NA
"1981-11-25",29.4
"1981-12-25",NA
"1982-01-25",NA
"1982-02-25",NA
"1982-03-25",NA
"1982-04-25",NA
"1982-05-25",NA
"1982-06-25",NA
"1982-07-25",NA
"1982-08-25",NA
"1982-09-25",NA
"1982-10-25",NA
"1982-11-25",NA
"1982-12-25",NA
"1983-01-25",NA
"1983-02-25",NA
"1983-03-25",NA
"1983-04-25",NA
"1983-05-25",NA
"1983-06-25",NA
"1983-07-25",NA
"1983-08-25",NA
"1983-09-25",NA
"1983-10-25",NA
"1983-11-25",NA
"1983-12-25",NA
"1984-01-25",NA
"1984-02-25",28.0444444444444
"1984-03-25",NA
"1984-04-25",NA
"1984-05-25",28.7333333333333
"1984-06-25",NA
"1984-07-25",27.0444444444444
"1984-08-25",29.6222222222222
"1984-09-25",NA
"1984-10-25",NA
"1984-11-25",26.7111111111111
"1984-12-25",29.3555555555556
"1985-01-25",NA
"1985-02-25",28.5333333333333
"1985-03-25",NA
"1985-04-25",NA
"1985-05-25",NA
"1985-06-25",NA
"1985-07-25",29.4666666666667
"1985-08-25",NA
"1985-09-25",NA
"1985-10-25",NA
"1985-11-25",NA
"1985-12-25",NA
"1986-01-25",NA
"1986-02-25",NA
"1986-03-25",NA
"1986-04-25",NA
"1986-05-25",NA
"1986-06-25",NA
"1986-07-25",NA
"1986-08-25",NA
"1986-09-25",NA
"1986-10-25",NA
"1986-11-25",NA
"1986-12-25",NA
"1987-01-25",NA
"1987-02-25",NA
"1987-03-25",NA
"1987-04-25",NA
"1987-05-25",NA
"1987-06-25",NA
"1987-07-25",NA
"1987-08-25",NA
"1987-09-25",NA
"1987-10-25",NA
"1987-11-25",NA
"1987-12-25",NA
"1988-01-25",NA
"1988-02-25",NA
"1988-03-25",NA
"1988-04-25",NA
"1988-05-25",NA
"1988-06-25",NA
"1988-07-25",NA
"1988-08-25",NA
"1988-09-25",NA
"1988-10-25",NA
"1988-11-25",NA
"1988-12-25",NA
"1989-01-25",NA
"1989-02-25",NA
"1989-03-25",NA
"1989-04-25",NA
"1989-05-25",NA
"1989-06-25",NA
"1989-07-25",NA
"1989-08-25",NA
"1989-09-25",NA
"1989-10-25",NA
"1989-11-25",NA
"1989-12-25",NA
"1990-01-25",NA
"1990-02-25",NA
"1990-03-25",NA
"1990-04-25",NA
"1990-05-25",28.8
"1990-06-25",30
"1990-07-25",28.625
"1990-08-25",30.8
"1990-09-25",31
"1990-10-25",28.7777777777778
"1990-11-25",NA
"1990-12-25",28.64
"1991-01-25",30.9111111111111
"1991-02-25",31.3428571428571
"1991-03-25",30.8888888888889
"1991-04-25",30.025
"1991-05-25",28.3714285714286
"1991-06-25",29.9777777777778
"1991-07-25",28.7714285714286
"1991-08-25",28.8888888888889
"1991-09-25",32.0666666666667
"1991-10-25",29.4666666666667
"1991-11-25",27.9555555555556
"1991-12-25",28.95
"1992-01-25",29.9111111111111
"1992-02-25",31.1111111111111
"1992-03-25",31.6888888888889
"1992-04-25",31.5777777777778
"1992-05-25",28.9555555555556
"1992-06-25",29.7555555555556
"1992-07-25",30.1777777777778
"1992-08-25",30.95
"1992-09-25",31.0888888888889
"1992-10-25",29.0444444444444
"1992-11-25",29.4444444444444
"1992-12-25",29
"1993-01-25",28.8285714285714
"1993-02-25",29.4
"1993-03-25",29.5333333333333
