"X26150240_prec.Date","X26150240_prec.Value"
"1978-11-25",22
"1978-12-25",59
"1979-01-25",8
"1979-02-25",25
"1979-03-25",72
"1979-04-25",95
"1979-05-25",18
"1979-06-25",41
"1979-07-25",2
"1979-08-25",20
"1979-09-25",55
"1979-10-25",20
"1979-11-25",74
"1979-12-25",6
"1980-01-25",3
"1980-02-25",11
"1980-03-25",3
"1980-04-25",39
"1980-05-25",78.1
"1980-06-25",31
"1980-07-25",3
"1980-08-25",37
"1980-09-25",40
"1980-10-25",98
"1980-11-25",73
"1980-12-25",36
"1981-01-25",15
"1981-02-25",34
"1981-03-25",53
"1981-04-25",40
"1981-05-25",100
"1981-06-25",106
"1981-07-25",25
"1981-08-25",28
"1981-09-25",100
"1981-10-25",75
"1981-11-25",29
"1981-12-25",12
"1982-01-25",116
"1982-02-25",40
"1982-03-25",46
"1982-04-25",80
"1982-05-25",42
"1982-06-25",40
"1982-07-25",12
"1982-08-25",13
"1982-09-25",9
"1982-10-25",78
"1982-11-25",175
"1982-12-25",54
"1983-01-25",4
"1983-02-25",44
"1983-03-25",75
"1983-04-25",76
"1983-05-25",44
"1983-06-25",67
"1983-07-25",66
"1983-08-25",15
"1983-09-25",41
"1983-10-25",30
"1983-11-25",37
"1983-12-25",111
"1984-01-25",82
"1984-02-25",40
"1984-03-25",18
"1984-04-25",26
"1984-05-25",38
"1984-06-25",120
"1984-07-25",29
"1984-08-25",36
"1984-09-25",21
"1984-10-25",35
"1984-11-25",50
"1984-12-25",17
"1985-01-25",57
"1985-02-25",5
"1985-03-25",25
"1985-04-25",50
"1985-05-25",23
"1985-06-25",57
"1985-07-25",2
"1985-08-25",25
"1985-09-25",59
"1985-10-25",117
"1985-11-25",0
"1985-12-25",0
"1986-01-25",0
"1986-02-25",0
"1986-03-25",0
"1986-04-25",0
"1986-05-25",40
"1986-06-25",65
"1986-07-25",0
"1986-08-25",0
"1986-09-25",10
"1986-10-25",51
"1986-11-25",43
"1986-12-25",6
"1987-01-25",55
"1987-02-25",17
"1987-03-25",55
"1987-04-25",50
"1987-05-25",20
"1987-06-25",75
"1987-07-25",71
"1987-08-25",21
"1987-09-25",24
"1987-10-25",25
"1987-11-25",6
"1987-12-25",47
"1988-01-25",8
"1988-02-25",13
"1988-03-25",67
"1988-04-25",59
"1988-05-25",48
"1988-06-25",13
"1988-07-25",67
"1988-08-25",17
"1988-09-25",56
"1988-10-25",22
"1988-11-25",42
"1988-12-25",122
"1989-01-25",84
"1989-02-25",55
"1989-03-25",54
"1989-04-25",38
"1989-05-25",86
"1989-06-25",21
"1989-07-25",4
"1989-08-25",14
"1989-09-25",50
"1989-10-25",13
"1989-11-25",63
"1989-12-25",57
"1990-01-25",32
"1990-02-25",86
"1990-03-25",16
"1990-04-25",34
"1990-05-25",127
"1990-06-25",2
"1990-07-25",17
"1990-08-25",12
"1990-09-25",3
"1990-10-25",40
"1990-11-25",38
"1990-12-25",70
"1991-01-25",10
"1991-02-25",1
"1991-03-25",0
"1991-04-25",41
"1991-05-25",27
"1991-06-25",15
"1991-07-25",5
"1991-08-25",27
"1991-09-25",1
"1991-10-25",106
"1991-11-25",76
"1991-12-25",34
"1992-01-25",8
"1992-02-25",9
"1992-03-25",23
"1992-04-25",0
"1992-05-25",54
"1992-06-25",23
"1992-07-25",15
"1992-08-25",26
"1992-09-25",8
"1992-10-25",14
"1992-11-25",33
"1992-12-25",122
"1993-01-25",93
"1993-02-25",53
"1993-03-25",19
"1993-04-25",162
"1993-05-25",99
"1993-06-25",2
"1993-07-25",23
"1993-08-25",5
"1993-09-25",79
"1993-10-25",23
"1993-11-25",232
"1993-12-25",57
"1994-01-25",19
"1994-02-25",38
"1994-03-25",16
"1994-04-25",116
"1994-05-25",160
"1994-06-25",16
"1994-07-25",36
"1994-08-25",28
"1994-09-25",8
"1994-10-25",59
"1994-11-25",112
"1994-12-25",14
"1995-01-25",0
"1995-02-25",60
"1995-03-25",87
"1995-04-25",104
"1995-05-25",114
"1995-06-25",130
"1995-07-25",8
"1995-08-25",44
"1995-09-25",0
"1995-10-25",38
"1995-11-25",51
"1995-12-25",45
