,SICA,EPSG:3116_X,EPSG:3116_Y,EPSG:4326_X,EPSG:4326_Y,Category
0,6607500996,790897.6106,1037547.461,-75.9625063863,4.93306912832,3
1,6607500981,790598.7547,1037800.494,-75.9652059633,4.93534841165,4
2,6607501034,789390.5633,1038560.999,-75.9761130234,4.94219082241,4
3,6607500081,792672.5954,1042507.264,-75.9466371811,4.97794190094,3
4,6607500108,792341.987,1041185.481,-75.9495829123,4.96598695455,4
5,6607500309,789867.6532,1036981.771,-75.9717732465,4.92792998417,3
6,6607500014,791308.3376,1041652.777,-75.9589100424,4.97018392666,4
7,6607500148,794450.1679,1039293.955,-75.9305363714,4.94894449685,4
8,6607500516,789741.6682,1033348.814,-75.972815782,4.89509190552,4
9,6607501187,790532.07,1036504.194,-75.9657737944,4.92363063799,4
10,6607500304,790168.1859,1036571.388,-75.9690545666,4.92422862757,4
11,6607500533,794304.5855,1039249.407,-75.9318472086,4.94853818705,4
12,6607501128,789979.0125,1035409.084,-75.9707295704,4.91371880755,3
13,6607500809,790237.1433,1035457.368,-75.9684047532,4.91416180332,3
14,6638301425,789324.7378,1041225.983,-75.9767749823,4.96627529331,4
15,6607500288,790419.9179,1038009.709,-75.9668228899,4.93723472718,4
16,6607500769,790157.2069,1039397.959,-75.9692259021,4.94977506787,3
17,6607500645,789614.3447,1031776.693,-75.9739231077,4.88087974773,4
18,6607500010,791006.6031,1042986.755,-75.9616635573,4.9822327731,4
19,6607500020,791071.1185,1041285.696,-75.9610384228,4.96686010847,3
20,6638300269,787074.0051,1047144.034,-75.9972135734,5.01970332821,4
21,6638300654,787511.9433,1048081.921,-75.9932914486,5.0281914628,4
22,6638300700,788404.3536,1045041.862,-75.9851687697,5.00073914068,3
23,6638300915,786199.3344,1039485.261,-76.0048946063,4.95046119004,4
24,6638300093,786476.4172,1048894.32,-76.0026457398,5.03550630524,4
25,6638301152,785599.577,1042928.386,-76.010389912,4.98156382276,4
26,6638300126,785522.6083,1047528.428,-76.0112055816,5.02313613929,3
27,6638300158,785375.4071,1046874.92,-76.0125148027,5.01722592494,3
28,6638300302,786000.8459,1047221.811,-76.0068873659,5.02037774746,4
29,6638300328,785732.9768,1046224.153,-76.009274985,5.01135394565,4
30,6638301680,785569.5476,1047932.028,-76.0107933009,5.026785056,4
31,6638300310,785667.1631,1046906.907,-76.0098862593,5.01752280358,4
32,6638300311,786025.5376,1047655.33,-76.0066763561,5.02429648034,4
33,6638300602,785298.8799,1041601.925,-76.013064701,4.96956754019,4
34,6638300608,784933.406,1041269.961,-76.0163494484,4.96655763705,4
35,6600103765,819637.6214,1018853.607,-75.7030953246,4.76477295321,3
36,6600100265,816212.4373,1029891.764,-75.7341989543,4.86447593912,4
37,6600101458,813017.5897,1013876.686,-75.7626347877,4.71964223037,4
38,6600102066,822721.7917,1019756.817,-75.6753242582,4.7730027047,3
39,6600103421,816964.8827,1031516.035,-75.7274540014,4.87917480381,3
40,6600100722,821298.3328,1020453.67,-75.6881652455,4.77927189982,4
41,6600100431,816341.2223,1031201.561,-75.7330673578,4.87631836312,4
42,6600102095,824495.2562,1019630.263,-75.6593414612,4.77189573116,3
43,6600101064,812851.0607,1014518.815,-75.7641491702,4.72544287589,4
44,6600102480,813456.8151,1013600.148,-75.7586715285,4.71715215789,4
45,6600101163,817495.8051,1018705.457,-75.7223907654,4.76338786753,3
46,6600101173,817969.5298,1019165.866,-75.7181322115,4.76755985757,4
47,6600101625,816791.8114,1014889.317,-75.7286519673,4.72887745498,4
48,6600101753,818151.9273,1015558.813,-75.7164117079,4.73495837445,3
49,6600101754,818275.2547,1015785.838,-75.7153053568,4.73701316653,4
50,6600101162,817712.4067,1019391.193,-75.7204538367,4.76959112468,4
51,6600102218,824405.1768,1017286.855,-75.6601047172,4.7507103971,3
52,6600100168,816615.9,1030437.152,-75.730575134,4.86941477399,4
53,6600101549,819556.1003,1018636.835,-75.7038252604,4.76281172652,4
54,6600102545,817194.8093,1031322.915,-75.7253776802,4.87743422818,4
55,6600101553,819380.3367,1018386.115,-75.7054036333,4.76054162209,3
56,6600100482,817156.542,1031436.257,-75.7257250377,4.87845791113,4
57,6600100489,816717.5239,1031655.48,-75.7296862421,4.8804298007,3
58,6600101506,820621.4516,1019153.639,-75.6942368969,4.76750598312,3
59,6600101099,818244.2922,1017663.284,-75.7156243519,4.75398340277,4
60,6600101096,818353.5301,1017580.564,-75.7146383257,4.75323800699,4
61,6600101172,817861.3808,1019251.723,-75.7191085214,4.76833361951,3
62,6600102783,818914.0557,1015064.316,-75.7095344466,4.73050466329,3
63,6600101815,819506.3171,1015310.283,-75.7042033726,4.7327406185,3
64,6600101091,818772.0346,1017329.909,-75.7108621595,4.75098119228,4
65,6600102720,819405.7443,1014342.213,-75.7050891059,4.72398771088,3
66,6600101731,818782.2489,1016544.311,-75.7107534222,4.74388009583,4
67,6600100220,816949.7971,1027212.299,-75.7274953033,4.84027184481,3
68,6600103213,820133.9948,1019637.364,-75.6986393887,4.77186822757,4
69,6600101714,818807.1362,1016006.421,-75.7105177631,4.73901843573,4
70,6600103616,817303.0284,1014244.632,-75.7240322098,4.7230609075,4
71,6600103774,816026.4895,1031621.517,-75.7359129761,4.88010744416,4
72,6600100475,817575.5147,1031122.922,-75.7219424267,4.87563484242,4
73,6600100331,816857.0744,1027486.284,-75.7283368632,4.84274643141,3
74,6600100236,815659.0129,1031902.296,-75.7392308513,4.88263727454,4
75,6600100566,816209.3096,1026687.625,-75.7341565334,4.83551288665,4
76,6600100286,816599.9065,1029630.261,-75.7307014613,4.86212072849,3
77,6600102998,826371.9673,1020246.305,-75.6424434746,4.77750331254,3
78,6600101649,816855.4977,1014155.034,-75.7280624569,4.72224141748,3
79,6600101486,815430.0936,1014164.332,-75.7409051935,4.72229477973,4
80,6600101620,816502.2795,1014123.498,-75.7312441975,4.72194877292,4
81,6600101089,817753.0236,1017320.585,-75.720043463,4.75087509354,4
82,6600101209,815068.443,1017695.461,-75.7442400326,4.75420562218,4
83,6600101056,812390.4807,1014986.049,-75.7683090744,4.72965614589,4
84,6600102483,814383.0777,1013907.193,-75.7503329247,4.71994775808,4
85,6600101067,812994.2998,1014727.638,-75.7628631962,4.7273335959,4
86,6600103593,813745.6458,1014500.554,-75.7560888524,4.72529738046,3
87,6600101713,819067.4651,1016074.577,-75.7081736227,4.73964006295,4
88,6600101425,814072.7508,1013836.878,-75.7531273343,4.71930542096,3
89,6600100677,818627.0071,1019936.414,-75.712224541,4.7745392422,3
90,6600103238,815751.476,1021007.741,-75.7381577513,4.78416099141,4
91,6600100421,817274.0724,1030904.931,-75.7246541683,4.87365770704,2
92,6600100282,816762.3033,1029519.622,-75.729235569,4.8611242232,3
93,6604500338,790120.7931,1059291.323,-75.9700744274,5.12957094411,4
94,6604500294,796370.2304,1060137.905,-75.9137624672,5.13738699158,4
95,6604500956,796999.7209,1058295.121,-75.9080404647,5.12074762191,4
96,6604500736,796314.0861,1060222.559,-75.9142707704,5.13815066196,4
97,6604502303,795356.0843,1054375.599,-75.9227553521,5.08527943165,3
98,6604501818,795549.4438,1055050.273,-75.9210298258,5.09138230496,2
99,6604500515,793032.1943,1060153.525,-75.9438532821,5.13744084685,4
100,6604500585,790673.8133,1057275.037,-75.965035993,5.11136243377,4
101,6604502394,796218.7808,1060844.452,-75.9151460157,5.14376903307,3
102,6604502557,794297.5702,1051500.302,-75.9322222616,5.05926448597,4
103,6604500399,790991.1389,1059709.034,-75.9622401242,5.1333694261,3
104,6604500037,788683.9012,1061034.449,-75.9830734492,5.14528670096,3
105,6604501612,793183.3637,1057854.892,-75.9424302985,5.1166694473,4
106,6604501269,789838.4481,1055813.142,-75.9725270419,5.09812761899,4
107,6604501555,790339.9439,1056375.488,-75.9680216141,5.10322342496,3
108,6604500729,796572.8692,1059643.515,-75.9119230069,5.13292380066,3
109,6604502153,793988.6891,1052437.706,-75.9350304812,5.06772895628,4
110,6604502552,793657.8069,1052450.803,-75.938013191,5.0678387552,4
