;SICA 1;EPSG:3116_X;EPSG:3116_Y;EPSG:4326_X;EPSG:4326_Y
0;6607500996;790897.6106;1037547.461;-75.96250639;4.933069128
1;6607500981;790598.7547;1037800.494;-75.96520596;4.935348412
2;6607501034;789390.5633;1038560.999;-75.97611302;4.942190822
3;6607500081;792672.5954;1042507.264;-75.94663718;4.977941901
4;6607500108;792341.987;1041185.481;-75.94958291;4.965986955
5;6607500309;789867.6532;1036981.771;-75.97177325;4.927929984
6;6607500014;791308.3376;1041652.777;-75.95891004;4.970183927
7;6607500148;794450.1679;1039293.955;-75.93053637;4.948944497
8;6607500516;789741.6682;1033348.814;-75.97281578;4.895091906
9;6607501187;790532.07;1036504.194;-75.96577379;4.923630638
10;6607500304;790168.1859;1036571.388;-75.96905457;4.924228628
11;6607500533;794304.5855;1039249.407;-75.93184721;4.948538187
12;6607501128;789979.0125;1035409.084;-75.97072957;4.913718808
13;6607500809;790237.1433;1035457.368;-75.96840475;4.914161803
14;6638301425;789324.7378;1041225.983;-75.97677498;4.966275293
15;6607500288;790419.9179;1038009.709;-75.96682289;4.937234727
16;6607500769;790157.2069;1039397.959;-75.9692259;4.949775068
17;6607500645;789614.3447;1031776.693;-75.97392311;4.880879748
18;6607500010;791006.6031;1042986.755;-75.96166356;4.982232773
19;6607500020;791071.1185;1041285.696;-75.96103842;4.966860108
20;6638300269;787074.0051;1047144.034;-75.99721357;5.019703328
21;6638300654;787511.9433;1048081.921;-75.99329145;5.028191463
22;6638300700;788404.3536;1045041.862;-75.98516877;5.000739141
23;6638300915;786199.3344;1039485.261;-76.00489461;4.95046119
24;6638300093;786476.4172;1048894.32;-76.00264574;5.035506305
25;6638301152;785599.577;1042928.386;-76.01038991;4.981563823
26;6638300126;785522.6083;1047528.428;-76.01120558;5.023136139
27;6638300158;785375.4071;1046874.92;-76.0125148;5.017225925
28;6638300302;786000.8459;1047221.811;-76.00688737;5.020377747
29;6638300328;785732.9768;1046224.153;-76.00927499;5.011353946
30;6638301680;785569.5476;1047932.028;-76.0107933;5.026785056
31;6638300310;785667.1631;1046906.907;-76.00988626;5.017522804
32;6638300311;786025.5376;1047655.33;-76.00667636;5.02429648
33;6638300602;785298.8799;1041601.925;-76.0130647;4.96956754
34;6638300608;784933.406;1041269.961;-76.01634945;4.966557637
35;6600103765;819637.6214;1018853.607;-75.70309532;4.764772953
36;6600100265;816212.4373;1029891.764;-75.73419895;4.864475939
37;6600101458;813017.5897;1013876.686;-75.76263479;4.71964223
38;6600102066;822721.7917;1019756.817;-75.67532426;4.773002705
39;6600103421;816964.8827;1031516.035;-75.727454;4.879174804
40;6600100722;821298.3328;1020453.67;-75.68816525;4.7792719
41;6600100431;816341.2223;1031201.561;-75.73306736;4.876318363
42;6600102095;824495.2562;1019630.263;-75.65934146;4.771895731
43;6600101064;812851.0607;1014518.815;-75.76414917;4.725442876
44;6600102480;813456.8151;1013600.148;-75.75867153;4.717152158
45;6600101163;817495.8051;1018705.457;-75.72239077;4.763387868
46;6600101173;817969.5298;1019165.866;-75.71813221;4.767559858
47;6600101625;816791.8114;1014889.317;-75.72865197;4.728877455
48;6600101753;818151.9273;1015558.813;-75.71641171;4.734958374
49;6600101754;818275.2547;1015785.838;-75.71530536;4.737013167
50;6600101162;817712.4067;1019391.193;-75.72045384;4.769591125
51;6600102218;824405.1768;1017286.855;-75.66010472;4.750710397
52;6600100168;816615.9;1030437.152;-75.73057513;4.869414774
53;6600101549;819556.1003;1018636.835;-75.70382526;4.762811727
54;6600102545;817194.8093;1031322.915;-75.72537768;4.877434228
55;6600101553;819380.3367;1018386.115;-75.70540363;4.760541622
56;6600100482;817156.542;1031436.257;-75.72572504;4.878457911
57;6600100489;816717.5239;1031655.48;-75.72968624;4.880429801
58;6600101506;820621.4516;1019153.639;-75.6942369;4.767505983
59;6600101099;818244.2922;1017663.284;-75.71562435;4.753983403
60;6600101096;818353.5301;1017580.564;-75.71463833;4.753238007
61;6600101172;817861.3808;1019251.723;-75.71910852;4.76833362
62;6600102783;818914.0557;1015064.316;-75.70953445;4.730504663
63;6600101815;819506.3171;1015310.283;-75.70420337;4.732740619
64;6600101091;818772.0346;1017329.909;-75.71086216;4.750981192
65;6600102720;819405.7443;1014342.213;-75.70508911;4.723987711
66;6600101731;818782.2489;1016544.311;-75.71075342;4.743880096
67;6600100220;816949.7971;1027212.299;-75.7274953;4.840271845
68;6600103213;820133.9948;1019637.364;-75.69863939;4.771868228
69;6600101714;818807.1362;1016006.421;-75.71051776;4.739018436
70;6600103616;817303.0284;1014244.632;-75.72403221;4.723060908
71;6600103774;816026.4895;1031621.517;-75.73591298;4.880107444
72;6600100475;817575.5147;1031122.922;-75.72194243;4.875634842
73;6600100331;816857.0744;1027486.284;-75.72833686;4.842746431
74;6600100236;815659.0129;1031902.296;-75.73923085;4.882637275
75;6600100566;816209.3096;1026687.625;-75.73415653;4.835512887
76;6600100286;816599.9065;1029630.261;-75.73070146;4.862120728
77;6600102998;826371.9673;1020246.305;-75.64244347;4.777503313
