,year,DefectosTotales,ASNM,Luminosidad,PrecTotalAvg,TminTotalAvg,TmaxTotalAvg,TmeanTotalAvg,DtrTotalAvg,OrientationNum,Slope,pH_avg,org_avg,Franco,Arcilloso,Limoso,Arenoso,Cascajoso,Aroma-Fragancia,Acidez,Cuerpo,Sabor,SaborResidual,Dulzor,Uniformidad,Balance,TazaLimpia,PuntajeCatador,PuntajeTotal
0,2011,3.27,1536.0,2,213.664208404,16.784211956,25.9042800522,21.3442459107,9.1200679779,4.0,32.1693993,5.625,0.02175,3,3,3,0,0,7.5,7.5,7.25,7.5,7.5,10.0,10.0,7.25,10.0,7.5,82.0
1,2011,3.37,1650.0,2,210.865795593,16.4142080383,24.5656280212,20.4899179459,8.15142021179,4.0,16.3351994,5.625,0.02175,3,3,3,0,0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,7.0,10.0,7.0,79.0
2,2011,2.49,1444.0,1,201.761175964,17.6097760925,27.5409840012,22.5753801346,9.93120803833,7.0,32.6622009,5.35,0.0523333333333,3,3,3,0,1,7.0,7.0,7.0,7.0,7.0,10.0,10.0,7.0,10.0,6.5,78.5
3,2011,2.72,1344.0,2,199.781792053,18.2290039978,28.5532880402,23.3911460877,10.3242835999,4.0,32.3791008,5.4,0.038,3,0,3,0,0,7.5,7.0,7.0,7.0,7.0,10.0,10.0,7.0,10.0,7.5,80.0
4,2011,5.96,1354.0,2,188.488215881,18.6833519669,29.2272480621,23.9552998543,10.5438962936,5.0,29.5702991,5.35,0.0523333333333,3,3,3,0,1,6.5,6.5,6.5,7.0,6.5,10.0,10.0,6.25,10.0,6.25,75.5
5,2011,2.6,1568.0,2,212.765323944,16.5337120171,25.1406280518,20.8371700287,8.60691566467,3.0,19.8834,5.4,0.038,3,0,3,0,0,7.5,7.25,7.25,7.5,7.25,10.0,10.0,7.0,10.0,7.25,81.0
6,2011,2.78,1505.0,2,216.38823587,16.7005399399,25.5753720093,21.1379559517,8.87483196259,1.0,30.7903996,5.4,0.038,3,0,3,0,0,6.625,6.75,6.5,6.75,6.75,10.0,10.0,6.5,10.0,6.5,76.375
7,2011,2.67,1318.0,2,203.429000091,17.8649599915,28.0121080094,22.9385339737,10.1471477509,2.0,23.7098007,5.625,0.02175,3,3,3,0,0,6.75,6.5,6.25,6.5,6.5,10.0,10.0,6.25,10.0,6.0,74.75
8,2011,1.3,1552.0,2,207.274888214,16.897688034,26.3126479797,21.6051680565,9.41495990754,3.0,13.2531004,5.4,0.038,3,0,3,0,0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,7.0,10.0,7.0,79.0
9,2011,1.55,1454.0,2,213.127936157,16.6783279724,25.6403240204,21.1593257904,8.96199607849,5.0,30.1334991,5.625,0.02175,3,3,3,0,0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,7.0,10.0,7.0,79.0
