,prec1,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,prec10,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmean1,tmean2,tmean3,tmean4,tmean5,tmean6,tmean7,tmean8,tmean9,tmean10,dtr1,dtr2,dtr3,dtr4,dtr5,dtr6,dtr7,dtr8,dtr9,dtr10,PrecTotalAvg,TminTotalAvg,TmaxTotalAvg,TmeanTotalAvg,DtrTotalAvg,PrecTotal,TminTotal,TmaxTotal,TmeanTotal,DtrTotal,year,ASNM,LUMINOSID,pH_avg,org_avg,franco_L1,arcilloso_L1,limoso_L1,arenoso_L1,cascajoso_L1,franco_L2,arcilloso_L2,limoso_L2,arenoso_L2,cascajoso_L2,franco_L3,arcilloso_L3,limoso_L3,arenoso_L3,cascajoso_L3,segme,score
0,145.6556006,205.83948,257.5191986,195.01112,200.1433197,222.7544012,184.1802014,126.7136807,272.8896008,325.935481,16.97131989,16.86355995,16.91155998,17.11028008,16.88580002,16.70907982,16.7921199,16.64043999,16.53151993,16.42644001,26.34224007,26.08807983,25.88572021,26.13012016,25.84007996,25.76588013,26.25891983,26.47000015,25.35272011,24.90904007,21.65677929,21.47581959,21.39863968,21.62020016,21.36293983,21.23748016,21.52552032,21.55521965,20.94212055,20.66773987,9.370920181,9.22451973,8.974159241,9.019838333,8.954280853,9.056800842,9.46680069,9.829559326,8.821199417,8.482601166,213,16,25,21,9,2136,167,259,213,91,2011,1536,2,5.625,0.02175,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,A2011,82
1,147.6736401,193.9164001,257.8843176,197.6737592,200.8623627,217.8800006,177.609679,128.2265198,265.1372791,321.7939978,16.65012005,16.56019978,16.46323998,16.73088009,16.56864014,16.26360012,16.49424004,16.32272011,16.1866,15.9018401,24.99292015,24.56116013,24.57591988,24.71136009,24.68467995,24.49252007,25.19419998,25.20147995,23.95723991,23.28480011,20.82151985,20.56068039,20.51957989,20.72112083,20.62665939,20.37805939,20.84422016,20.76210022,20.07191944,19.59331989,8.34280014,8.000961304,8.112680435,7.980480194,8.116039276,8.228919983,8.699960709,8.878761292,7.77063942,7.382959366,210,16,24,20,8,2108,164,245,204,81,2011,1650,2,5.625,0.02175,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,A2011,79
2,138.9820789,205.851759,242.8093201,178.7945605,189.4397186,201.3426422,173.0902008,121.3292401,260.5229193,305.4493201,17.87644005,17.67647995,17.82284004,17.97043991,17.7602002,17.51920029,17.54684013,17.3014003,17.27432007,17.34959999,27.98108009,27.68947998,27.60707993,27.76972008,27.30136009,27.08104027,27.93975998,27.95275986,27.22499992,26.86255981,22.92876053,22.68297958,22.7149601,22.87007999,22.53077984,22.3001194,22.74330044,22.62708092,22.24966049,22.10608006,10.10464096,10.01300049,9.784240723,9.799280167,9.541158676,9.561840057,10.39291954,10.65135956,9.950679779,9.512960434,201,17,27,22,9,2017,176,275,225,99,2011,1444,1,5.35,0.052333333,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,A2011,78.5
3,139.2387201,205.7363196,235.84448,178.9327594,193.4658789,199.1706409,174.6351605,127.5868805,251.4480817,291.758999,18.56135986,18.29075996,18.46132004,18.6072802,18.43691994,18.13492004,18.15632004,17.82980011,17.82915977,17.98220001,29.03828003,28.69879974,28.7358802,28.75980011,28.19419998,27.8309198,29.01452034,28.81968002,28.40880005,28.03200012,23.79981995,23.49477959,23.59860039,23.68354034,23.31556034,22.98291969,23.58542061,23.32473946,23.11898041,23.00710011,10.47692108,10.40803909,10.27455902,10.15251923,9.75728035,9.695999146,10.85820007,10.98987961,10.57963943,10.04979897,199,18,28,23,10,1997,182,285,233,103,2011,1344,2,5.4,0.038,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,A2011,80
4,135.7023608,196.8690796,225.3444794,170.1415588,185.2584802,178.7524805,160.56328,121.4342401,236.5984393,274.21776,19.04028008,18.75043999,18.90963989,19.08091995,18.92203987,18.57848007,18.57815987,18.22296013,18.28564003,18.46495979,29.70951996,29.30168007,29.47947998,29.39627998,28.81584023,28.32288025,29.78915985,29.45644005,29.21056023,28.79064003,24.37489986,24.0260601,24.19456005,24.23859978,23.8689394,23.45067978,24.18365955,23.83969975,23.74810028,23.62779999,10.66924095,10.55123901,10.56984138,10.31536102,9.893800735,9.744400024,11.21100044,11.23348045,10.92491913,10.32567978,188,18,29,23,10,1884,186,292,239,105,2011,1354,2,5.35,0.052333333,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,A2011,75.5
5,146.7214801,200.2307202,258.5942816,196.9779602,200.4688812,221.4692792,180.5041589,126.4485202,270.1463965,326.0915613,16.72540001,16.64168003,16.61972012,16.85055985,16.64948009,16.43124008,16.57716011,16.43139996,16.30548008,16.10499985,25.56139984,25.23628006,25.12564003,25.3364399,25.18512024,25.07376022,25.61392021,25.76764008,24.53159988,23.97448006,21.14340019,20.9389801,20.87268066,21.09349918,20.91730022,20.75250053,21.09554005,21.09951973,20.41854,20.03973961,8.835998535,8.594600677,8.50592041,8.485879898,8.535638809,8.642520905,9.03676033,9.336238861,8.226118088,7.869480133,212,16,25,20,8,2127,165,251,208,86,2011,1568,2,5.4,0.038,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,A2011,81
6,146.1402802,203.0695203,257.035401,199.0944,202.996001,235.4586798,189.8246002,132.8092392,270.2533984,327.2008386,16.83543995,16.75159988,16.78131989,17.01055992,16.79331985,16.64804016,16.78060005,16.61119984,16.48387985,16.30944,26.04167999,25.79296005,25.57247986,25.77347984,25.5385601,25.46363998,25.94176003,26.15031998,24.995,24.48384026,21.43855953,21.27227974,21.17689991,21.39201927,21.16594028,21.05584049,21.36117935,21.38076019,20.73943996,20.39664078,9.2062397,9.041358948,8.791158676,8.76292038,8.745241165,8.815599442,9.161159515,9.53911972,8.51112175,8.17440033,216,16,25,21,8,2163,167,255,211,88,2011,1505,2,5.4,0.038,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,A2011,76.375
7,141.5352399,208.8185608,242.0290411,182.5282794,195.608999,201.0772003,177.3659613,125.7453598,259.044361,300.5369983,18.1914801,17.92939995,18.0744799,18.24131981,18.06020004,17.74467995,17.80803986,17.51528,17.49552025,17.58920006,28.53828003,28.20120003,28.09404015,28.2211998,27.67995987,27.43952019,28.36903984,28.34928009,27.77980011,27.44875999,23.36488056,23.06529999,23.08425999,23.23125935,22.87007999,22.59210014,23.08854008,22.93227959,22.63766003,22.51898003,10.34679985,10.27180099,10.01955986,9.979879379,9.619760513,9.694839478,10.56099892,10.83399963,10.28428078,9.859558105,203,17,28,22,10,2034,178,280,229,101,2011,1318,2,5.625,0.02175,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,A2011,74.75
8,143.2637195,205.8933203,254.7509613,187.4488007,193.4101593,203.3323596,174.0275189,118.5431204,271.2750415,320.8038806,17.13172005,17.00196007,17.07531998,17.24212006,17.00692001,16.79516006,16.83152,16.69172005,16.61680008,16.58363998,26.72207993,26.46343987,26.28108009,26.56068001,26.21311989,26.12924011,26.66080009,26.86615982,25.80184006,25.42803993,21.92689991,21.73270035,21.67819977,21.90140057,21.61001968,21.46220016,21.74616051,21.7789402,21.20932007,21.00583935,9.590360641,9.461479187,9.205760956,9.318559647,9.206199646,9.334079742,9.829280853,10.17443848,9.18503952,8.844400406,207,16,26,21,9,2072,168,263,216,94,2011,1552,2,5.4,0.038,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,A2011,79
9,146.0464807,204.1420807,258.3918408,195.5227991,199.8929193,220.6594385,182.003241,125.5326807,272.5824805,326.5054004,16.86883991,16.77175991,16.79639996,17.00227997,16.78204002,16.59295986,16.68767998,16.54668007,16.43355991,16.30108013,26.06491997,25.79147995,25.61719986,25.8617601,25.61619995,25.53604027,26.02996002,26.2335598,25.06304016,24.58908012,21.46687984,21.28161907,21.20679951,21.43201923,21.19911957,21.06449986,21.35881996,21.39012051,20.7482996,20.44508076,9.196081162,9.019720078,8.820798874,8.859479904,8.834159851,8.943078995,9.342281342,9.686880112,8.629480362,8.288000107,213,16,25,21,8,2131,166,256,211,89,2011,1454,2,5.625,0.02175,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,A2011,79
