"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28"
"DefectosTotales",0.0997301765372179,-0.105073750550226,0.342114057683557,-0.0854072247546396,0.0978350020443316,-0.261300979003557,0.0335868468461867,-0.0456461168571893,-0.200803574260095,0.165172055780175,-0.474396547952145,-0.0626630579898158,0.277010447873101,-0.567413745546525,-0.10686809568831,-0.0301569425908698,0.10834577398367,0.024989299086586,0.0893182316697824,-0.200375487279676,-0.0279568541884135,-0.049401333310933,0.047795250887566,0.00330813991185598,0.000822461667928284,4.11372588884053e-09,3.70408390176312e-09,2.29999385392798e-17
"ASNM",-0.14098946198563,0.384583997633289,0.00353960019455857,0.0831986279611037,-0.0461726741400719,0.00698344113584611,0.125072011142646,0.0772733961078826,0.121561477995043,-0.0808588885267514,0.132303055640519,0.0434494351884043,0.148353298652667,-0.148509096818555,-0.133191063207123,0.00146904195200049,-0.45888778610297,0.225021057607004,-0.327209926692235,-0.460707968679147,0.0943491786790977,-0.315058346004777,-0.0516222287878781,0.0738825046392515,0.0464443933540973,1.69153640265704e-08,-8.02901287491041e-10,4.1483599895116e-16
"Luminosidad",-0.00943209431786089,-0.030371158451066,0.13858535634584,0.194471590620402,0.172077912131475,-0.284998683940482,0.130790694686441,-0.0893214815320925,-0.00852343851343738,-0.816837386537521,0.109996726646932,-0.186173345194683,-0.213415507231047,-0.164174089209223,0.0353498634200359,-0.0476250781874498,0.0679290065272858,-0.00189744992260726,0.0762428882928808,0.00239392200074287,0.0575994435883928,0.0400082325858023,-0.0171095133862549,-0.0076779673905777,-0.0162605745417611,-1.03005885135005e-08,-3.11185368595451e-09,-1.05621669327637e-18
"PrecTotalAvg",0.113812323586225,-0.178125374096747,0.399385157877039,-0.00122136600094533,0.0760355493063265,-0.321487896270527,-0.100191061126941,-0.0189502883233555,-0.0264717466956146,-0.00127132450596597,-0.0849145886867541,0.072182105935677,0.170468404631551,0.304365119056102,0.049314220581553,0.0896363651004494,-0.446153808469476,0.150471764691971,-0.262312029137671,0.462600201434867,0.14580999963108,-0.0410571563209182,-0.0113809710389148,0.0477734563982941,-0.0335856185386385,1.17270363995964e-08,-4.00377647018274e-09,-2.12608739914949e-17
"TminTotalAvg",0.132787670969991,-0.430198652138308,-0.0394252197598355,0.000763179103271616,0.111347072428721,-0.0794648238145372,-0.0654044633761952,0.0442455310600865,0.00645881814236222,-0.00474247882225284,-0.0250740683408519,-0.00649757662058095,-0.0536724284387066,0.26064516883721,0.0799239165104337,0.0113100811476561,0.0530846917217643,0.0331115917068086,-0.107020885447214,-0.443652894060286,-0.00078534724303487,-0.0987058188242429,-0.035186684893039,-0.0147249717649821,0.00380653059245623,0.601578240313013,0.327751264007752,4.49677085127644e-11
"TmaxTotalAvg",0.11230249244963,-0.438627825653121,-0.184426331223126,0.0338492168979361,0.0109150415491083,0.0175332132216382,0.0235579311663239,-0.0213532413449004,0.0319183837874295,-0.00251976476454027,0.108095123124947,-0.0474020690361566,0.0637527182511451,-0.0572474605106049,-0.0369259692441122,-0.00857024792281591,-0.0896101540348497,0.0382056787265268,-0.0536893156140297,-0.112606980767692,0.00901133711831903,-0.0633993756869215,-0.0149777567084968,0.0139040609694662,0.00998510496556631,-0.676045789048853,0.497949464108212,-2.66476917272206e-10
"TmeanTotalAvg",0.123677963766441,-0.446481891083171,-0.129226352816342,0.0210409589975991,0.0527328796792895,-0.0221289392418854,-0.0126251682473014,0.00522436292499181,0.0222142855619784,-0.00350415164935794,0.0558150298597677,-0.0317107265893882,0.0168374730037545,0.0727432399029073,0.0104449300090227,-0.000569917198244097,-0.0329126408913169,0.0370866700562153,-0.0771336894585522,-0.252428839665784,0.0051926995945718,-0.0796401518129068,-0.0237227786553771,0.0024234314565891,0.00768801500178191,-0.175230838600599,-0.802879524452997,1.63243740231755e-10
"DtrTotalAvg",0.0456765221184047,-0.299079219040467,-0.318771646866883,0.0673389815070313,-0.129884833461212,0.143850606590094,0.136835821942058,-0.103510359149983,0.0556666132164052,0.00138087618005039,0.252581794665608,-0.0868930083795696,0.202026577213088,-0.471302512902017,-0.183653231777874,-0.0327459210680459,-0.253460359848065,0.0319996987221319,0.0375714874842446,0.377888746667095,0.0192758399182387,0.00660964612264894,0.0177555343576999,0.0481806882107011,0.0149772940350155,0.387762640147993,-0.0031479119735294,8.24324631799007e-11
"OrientationNum",0.0180251200903514,0.0615155875008721,0.126775738619418,0.00878890626225805,-0.0804695355241564,0.307283531122291,-0.116379786608344,-0.563393267437685,-0.580758851499224,-0.0440231040922562,0.141000329085369,-0.333047089863778,0.164216028312006,0.173460765590355,-0.00323011337230748,-0.0463164679459834,-0.0574545540780431,0.0442239785707238,-0.0191591340651239,-0.107345084058753,-0.0302683606237503,-0.0129253851185038,0.00129738562764551,0.0163986275518763,-0.0124364167312625,2.63876561609139e-09,-1.64259989451787e-10,-6.70099089877077e-17
"Slope",-0.0381608598249851,0.0557761966833217,-0.0914961717105502,-0.160094871662282,0.114716846115439,-0.0235262682610211,-0.158771700381929,0.696121267698325,-0.282958967919183,-0.0717262570627482,0.143530597062579,-0.49516412863611,0.275032816554552,0.0635660582213941,-0.0326878755152496,-0.000857851194031853,0.0279072428744961,-0.00222336371982992,0.0274983618148707,0.0595356302711468,-3.50156076044366e-05,-0.0133974312087675,0.0274503588033185,0.00143609280645945,0.0123588930286405,4.23340865867039e-09,-1.87946825429461e-10,1.2964839545865e-17
