"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71"
"ASNM",0.12652031372265,0.0724424428248472,0.0482154363636987,-0.0530373358201305,0.0680005443730967,-0.0107119376061104,0.0614178222389525,-0.171682025590388,0.0448567771583394,-0.079675811207514,0.0788635430851977,0.0584378116828075,-0.111829436489685,0.0601952419785526,0.196908090792545,-0.249201450898386,-0.794088042317368,0.0893085688180221,-0.194960229095192,0.124923014212821,-0.084421166282078,0.0714928821220129,-0.250373933985034,0.103890766099009,-0.0310052745127884,0.0296585541333188,-0.050170058724038,0.104723173642533,-0.0142197267738751,0.0463951391560431,-0.0301300052450779,-0.0159822145340075,0.0345664970626351,-0.0443917899438054,-0.0208392837933712,0.0066608311574604,0.00668708339659898,0.000315536439871328,-0.0128063907269114,-0.00556127993056014,0.00326611755579565,6.68482762009037e-08,1.14476944981189e-08,3.19801633373616e-08,3.01324218243874e-08,1.22673317106281e-08,2.18004311768685e-08,7.10385818933313e-09,3.94602928072455e-08,5.21319306178491e-08,6.18284417242218e-09,1.92000540815202e-08,1.18961502908196e-08,1.87599487645431e-08,2.0655840346135e-08,1.13493964707299e-08,4.56677903327851e-08,1.39263426052202e-09,3.23745167998378e-08,2.84453355118769e-08,1.3338336627584e-08,2.41553903481148e-12,3.90533426077387e-13,1.44628217614221e-13,2.73470066521177e-12,7.51936907930159e-13,1.96159786978555e-13,1.17980571010062e-12,5.39491337043583e-13,1.3171570307814e-13,3.16953289144806e-14
"Luminosidad",-0.00508258318962596,-0.0696617181075797,0.0618222291808914,-0.078398039600341,0.128976614930156,-0.191235173443222,0.143284691526298,-0.165947171972006,-0.0213176128878927,0.0431545555864031,0.898785029550238,-0.100255091828685,-0.0208255344878187,-0.0965368947837209,-0.167837634930524,0.0202992572875049,0.0794722461435793,0.0836429789508241,0.0675231252453012,0.0320342443953942,0.0606028346262443,0.0180767421334278,-0.0141001220478301,-0.0242916888571723,-0.010096211207678,0.000965137138364356,0.0237193596607183,-0.0124990404219566,-0.0179819739163464,0.0183807613434533,-0.00518971710705879,-0.00511783382048856,-0.00406779522572547,-0.0025487992633022,0.00230463521384118,-0.00395603472784323,0.000571173855164038,0.00703359076149513,0.00467592884777448,0.00402725845257621,0.00274482256522322,-3.03552109884018e-08,-1.04097722288538e-08,1.35154818099397e-09,-4.9101417906093e-09,-1.01423626099501e-08,2.22241884913901e-09,2.77426720818467e-08,2.02065707576886e-08,-1.55032554737056e-08,-8.31190962577858e-09,1.7997740321061e-08,-1.87281823096732e-08,1.17221467233694e-08,2.09127699627486e-10,-1.02909496686173e-08,1.63151194099671e-09,-7.3993684419224e-09,-9.50880698157729e-09,6.5839948857981e-12,1.29458526114078e-08,-9.56851675520578e-13,-4.82095333636987e-13,-6.05020834443568e-13,-8.79521196324312e-13,-3.14897472034968e-13,8.37502857165172e-13,5.69681699689282e-13,-7.05644345069784e-14,-7.07107267999559e-14,4.26715590546018e-14
"prec1",-0.0491862895500332,-0.0578043972971631,0.165618709805785,-0.0608766938671741,0.17702646328283,0.480875855110443,0.141171843414875,0.0306341064740314,0.00704416957957465,0.0161772548275465,0.0636337749561547,0.1825600480079,-0.247695264510781,-0.163097287485021,0.00923669444288602,-0.182777799503713,0.145531580459425,-0.175117068290796,-0.179883734705924,-0.112255557450207,0.0315753444404039,0.116924577503541,-0.0483864445473302,0.10382868541219,0.13645668979072,-0.442942871018285,-0.0303558682911468,0.0188698672968262,0.00368778724760918,0.132954802667273,0.156741528647241,0.138082415668197,0.0284974709157585,0.0452770291045589,-0.205321144691325,0.128840705706022,0.0803483581893148,-0.147793361455537,-0.0116328266067496,0.00655993470607441,0.142324242326111,-2.35574957537098e-07,-5.75151409395832e-08,-1.10643180077023e-07,1.58603104157639e-08,1.38750160639915e-07,1.93039176731055e-08,-2.18708533133309e-07,-2.97668492818128e-07,1.21386393206936e-07,1.87072440848165e-07,1.90502548057687e-08,-7.36570547190315e-08,-5.40724206954518e-08,-1.53935456203293e-07,-4.3059138696204e-08,1.65666077596663e-07,-5.17843584069961e-08,-1.3532727232689e-08,-1.0873554670701e-07,9.35749746156401e-08,-0.000351786313390881,0.0023630314817253,0.00143637448928663,-0.00474681089454113,0.00626992052671186,0.0893776289644061,0.00602879707035658,-0.00754057975984425,-0.000516511059431904,-0.000651026948240829
"prec2",-0.0470869043055089,-0.0632753311450303,0.422247280656286,-0.00805349200946537,-0.0299867399426485,0.0679806703764718,0.0754419576777309,0.000871837037602907,0.0125440564196272,-7.9972350776697e-05,-0.0434475937676829,0.0202767624829186,-0.0763216698857485,0.0689611900106259,-0.114416359561947,0.0740008472526056,0.013121374344794,0.15952620011675,0.142422719603254,-0.0951758717979358,-0.0984588597487875,-0.0882812909138251,0.0419184445939087,0.000812901701568794,0.0731872040791577,-0.13151253171443,-0.242505683930096,0.347535043242159,0.138829027799009,0.0261093689539438,-0.299009723756618,-0.283239530370986,0.338608416092953,-0.0248330825303657,0.163028696038846,-0.0277566881579719,-0.240903634860845,-0.102637731301516,-0.0640446628026042,0.0964491354975187,-0.243462167891961,-2.98593324562434e-07,-5.30156882988374e-08,1.89287449195221e-07,5.89755922569141e-08,5.47691674842453e-08,-1.78573845022605e-08,1.1311555902992e-07,1.54183471119475e-07,-5.7658142385952e-08,1.74745861432337e-07,-2.28948967668522e-07,-2.58284296897502e-08,-4.2439947688206e-08,1.09775689114802e-07,-1.69621591096609e-07,-3.56800899668394e-08,-2.3966509248919e-08,-1.18722916302349e-07,5.00484051631855e-08,1.69627556682025e-07,-0.000587023280645963,0.00394317345232277,0.0023968676474307,-0.00792096880655822,0.0104625708175524,0.149143799825316,0.0100602098473816,-0.0125829106326697,-0.000861898251018643,-0.00108636393682944
"prec3",-0.0306596722683223,-0.216296938665297,0.234187182078898,-0.0983572437487665,-0.141534800627867,-0.168346851459164,0.0975892809327251,0.0103149669540332,0.0958775301009105,0.0111754163947548,-0.0442642204910548,0.0861766771444818,-0.110945894751143,0.0783757854322312,-0.0295145620150201,-0.12346503866638,-0.00809702066066185,-0.200256120377328,0.00113055212997723,0.184401243673316,0.0662798577009058,-0.264859492747058,-0.0273971297663926,0.0710699044780901,-0.139226306784878,-0.0745174579311808,-0.0514630557688378,-0.324777149991058,0.43553819749472,0.201133465602342,0.0804619687254614,0.155472761575364,-0.263924733042754,-0.123400341492081,0.139866137843861,-0.162420526725324,-0.0548008504195526,0.108279213146408,0.0845012299886212,0.172286108591445,-0.111055355490877,-1.05871431185886e-07,7.67028119540736e-08,-1.09461556755965e-07,-6.99852147651281e-09,-1.71471054390358e-08,-3.56610096342185e-08,1.61485779645891e-07,-1.50910669722183e-07,5.73524744810013e-08,2.72236363483892e-07,-1.88035845330693e-07,-4.14212876838812e-08,-2.25379232809563e-07,-4.00261483942842e-08,-1.09162305949779e-07,-1.45003449657889e-08,-1.08515579939858e-07,2.90417138018405e-08,-2.08699647538356e-07,2.54758262263378e-07,-0.000712038378551471,0.00478292925139537,0.00290731528435248,-0.00960785362573878,0.0126907265145702,0.180906128032236,0.0122026769680847,-0.0152626233517852,-0.00104545194202476,-0.0013177208417561
"prec4",-0.0225702493555943,-0.222264002195852,-0.147282838029672,-0.214258500239905,-0.0949893235528798,-0.164023920158596,0.0399550793037195,-0.0130103541318527,-0.00325532218217257,-0.084983156767009,-0.053889581811983,-0.219466924870039,0.232165135736879,0.130279633943934,0.0968176561532016,-0.273377230071737,0.0435708606087136,0.136755060545264,-0.00181313543231305,0.083797311855112,0.0671464617269134,-0.209925106473707,0.0771503720875445,-0.0305495681737964,0.259469739726924,-0.143606594403507,0.166167506461037,0.246893559723853,-0.132654763063479,0.166663297824657,0.0204015037060116,0.063363566582481,-0.0816454097000667,-0.0573042972501338,-0.0819482005861993,0.0828313450298947,-0.164332585545151,-0.37381175580327,0.301869118074064,-0.0929153116048105,0.0611104900692088,-3.4157942079145e-07,-1.44799204446932e-07,-2.54824504285957e-07,-2.07372166365675e-07,1.28971085067613e-07,1.38559080305157e-08,6.95310800292098e-08,-5.17474532688939e-08,2.14524452753705e-07,3.2718285678089e-07,-3.38183008260482e-08,-4.17961475417418e-08,-1.66580669048639e-07,-8.05364761578183e-08,-1.32918341595934e-07,2.02233244420181e-07,-1.1943325281577e-07,-6.77190931191178e-08,-7.99126500498487e-08,2.74373333187892e-07,-0.00065597450966241,0.00440633521667387,0.00267840169536478,-0.00885135903637291,0.0116914954147846,0.166662102780975,0.0112418734823102,-0.0140608885374431,-0.000963136080353025,-0.00121396731381464
"prec5",-0.0301509336953813,-0.219902604915223,-0.251048122628191,-0.189163104908099,-0.0388073753355081,0.0228763645705753,0.0633141642582496,-0.0281711463562941,0.0547455035907135,-0.0416088144544608,0.0140224773381151,-0.0112589387219534,0.085329897913786,0.0751113250157255,-0.0242856145247741,0.00457059848788366,-0.142003712564473,-0.251782936410752,0.0899503865777926,-0.0143297635035654,0.156654178240364,-0.0376674099716579,-0.0519843456794267,-0.2040762560348,0.107945368587946,-0.111907879945687,0.0651804595060173,-0.0453415689319716,0.141477315253862,-0.448585713501007,-0.102552636532995,0.131414399488788,0.166209625532148,0.0213652525059767,-0.0158854194239595,0.428893302127426,-0.0663731013865226,0.124833787612464,-0.304545922737433,0.133718711020365,-0.111892795228427,-3.35793955096909e-07,2.0552628571466e-07,-5.50472009608182e-08,1.38879231223495e-07,1.37184879627414e-07,5.40043033010754e-09,1.5141128177767e-07,-2.2525139459917e-07,-4.87286768714998e-08,3.13302354108017e-07,-2.39397688110331e-07,-8.61478079021216e-10,-2.72023647365503e-07,-7.51574380830937e-08,-1.31566816056967e-07,4.23879090773488e-08,-1.23539916324431e-08,-1.40886633152941e-07,-4.57529096223463e-08,1.49845278444773e-07,-0.000668193287447841,0.00448841163138237,0.00272829200493387,-0.00901623242281038,0.011909271768737,0.169766501513159,0.0114512747591511,-0.0143227993373299,-0.000981076322539539,-0.00123657976552105
"prec6",-0.0327647505429587,-0.230979143708875,-0.166722180990038,-0.180992556010377,0.0255775236922726,0.194720624456138,0.0775527854453688,-0.0544470135480728,0.0353955857301459,-0.050686718892508,-0.00247992674795133,-0.0483882330917928,0.0492740527298369,0.0599094000577864,-0.0924360214080173,0.0537744713823979,-0.162380055804625,-0.186791780758955,0.278896626184439,-0.308881224270537,-0.192157716226294,0.223539854271119,-0.0402685489221076,-0.137541727653308,0.0523152364171139,0.0632931367889132,0.15919512690055,0.0856186811385202,0.0883394527775851,0.157304077575704,0.232116809408203,-0.318524928753004,-0.0750051345120551,0.131853866983061,0.276579187202786,-0.20618267402961,0.135132794366134,0.12360290297225,0.150954981512466,0.0137635312724463,0.132990161279636,1.69902832883383e-08,-4.13849421353367e-08,-1.98454556326075e-07,-1.14555558019723e-07,7.86499995998619e-08,1.11788578997207e-07,-2.17229925983144e-08,-4.63828561028909e-07,9.85464995901773e-08,2.50277188436047e-07,-6.12625048654509e-08,-2.50954855010898e-11,-1.75965203085423e-07,-6.57973967739918e-08,-5.906478996607e-08,1.48718841258255e-07,-6.37639292511448e-08,1.71508199351216e-07,-2.41585995336695e-07,2.72820312461316e-07,-0.000657116126027492,0.00441400357286186,0.00268306290032305,-0.00886676303498261,0.01171184208646,0.166952144315544,0.0112614376784878,-0.0140853586588587,-0.000964812223001467,-0.00121607997706285
"prec7",-0.0536536610094048,-0.166964384956979,0.206041040968694,-0.16182135133678,0.00375892165368286,0.265091711557004,0.0763427447781414,-0.00430331821808777,-0.0743296098229164,-0.022581056808184,-0.0198009813418699,-0.227178416740502,0.192128216030303,-0.295485505377124,0.16322682183204,-0.0557726557723808,-0.00849968297063108,-0.0581097101882664,0.0976894130280717,0.192959029992215,-0.0748658199994762,0.252683181226965,0.0725573562202383,-0.125161744000904,-0.0991335719926833,0.421958841644613,-0.325514813125023,-0.143100542094314,0.0457567848223623,-0.134064219518296,-0.0466246370637953,0.0918946743821957,-0.0589594326273901,0.0717456954530648,-0.200450027684055,-0.0560065007701197,-0.123302272820887,-0.185157609135488,0.0618797484384274,-0.0765588438435125,-0.0113332948317029,-8.85450043341362e-08,-2.14390827069881e-07,-1.78112599103862e-08,-1.53253170653046e-07,3.71951366940067e-08,9.46242055938991e-09,-3.77511909761434e-08,-1.90317231687827e-08,9.38939510279127e-08,2.34325009885336e-07,-1.6860307718531e-08,2.63259159754512e-08,-1.15995621216679e-07,-1.27810154905258e-07,-5.5905770874332e-08,1.59694248309224e-07,-1.47399325136465e-08,-1.44155285652298e-07,-3.363322219353e-09,1.9907766198178e-07,-0.00048664746968575,0.00326892566801655,0.00198702449173313,-0.00656655319581806,0.00867356372309252,0.123641528922497,0.0083400029280378,-0.0104313441849543,-0.000714521271623347,-0.000900605309740606
"prec8",-0.0524304087425869,-0.00817743546453264,0.396837922779001,0.0064070573971972,-0.0588788360229633,0.0346979536750406,-2.00905750533664e-05,0.00190125062003976,-0.110301904245557,-0.0181155377874345,-0.0216299377702106,-0.254372841223576,0.25887235793023,-0.231463728814664,0.17624431028284,-0.0225550126018855,-0.0537906872543766,0.071074811964137,-0.153626314624845,-0.00132372261217684,-0.080558788792205,-0.00671183457441457,0.0936604189013569,0.101876022932322,0.180191850735988,-0.214230543947314,0.38852470562345,-0.173215636282555,-0.215938087912284,-0.185069848353849,-0.0844251261162517,0.00927846675336563,-0.0140097514801455,-0.00747902104076872,0.230338914641461,-0.118135838782425,0.200792108943361,0.245304956544806,-0.0726648825489774,0.0296728490765773,-0.0881358317495914,-2.17504900042815e-08,1.36375361892459e-07,-6.9394886601724e-08,-4.02027202562722e-08,5.00924727044842e-08,1.31366503091242e-07,4.18448405624601e-08,-2.75720951252764e-07,-5.55997858882054e-08,2.42697044778528e-07,-1.10099045494651e-07,-2.68756091795384e-08,-2.73231065575759e-07,1.0223269935231e-08,-2.81457882578401e-08,1.76707889247231e-07,8.5957478467334e-09,-2.67003099361741e-09,-1.67512262841763e-07,1.6148591511465e-07,-0.000534629533977813,0.00359123236798568,0.00218293938318478,-0.00721399646697695,0.00952875217818434,0.135832228340802,0.00916230324707911,-0.0114598447437061,-0.000784971014653474,-0.000989402405697811
