"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"ASNM",0.412523553882105,0.0765869065621436,-0.0360150868038335,0.17660658453234,-0.133716842953941,0.039678857579623,-0.0875982923421275,0.143330428981477,-0.130161438270329,0.155865524135357,-0.51562075764897,0.568139702812484,-0.202551693022113,0.269980323233599,1.53396028854152e-08,7.73466840990234e-10
"Luminosidad",-0.0168661743153022,0.232034657849963,0.1531692343182,-0.317768208638467,-0.283616246068024,0.0156913986105382,-0.182629979370858,0.793050030232488,0.0857287975617888,-0.243393432434161,0.0672799731636084,-0.049455649867999,-0.0447161244759341,-0.0539422705518479,-1.0173383305062e-08,2.44636864629371e-09
"PrecTotalAvg",-0.17136146193373,0.142393723918999,0.0222141283462745,-0.676652647666662,-0.066700832390566,0.0926385486319526,-0.0329986851714475,-0.261996022473978,0.0640068772640243,0.220415486077118,-0.53068075038555,-0.244469249649196,-0.0830063114166587,0.0910389228953838,1.27247298014643e-08,-2.4119866394374e-10
"TminTotalAvg",-0.458901733574608,-0.0115486434491124,0.108610892905428,-0.123182403970044,0.00133430677567781,0.080916373865096,-0.0131261608112056,-0.0734256191893837,0.0650068081166034,-0.014821598798942,0.148196741678152,0.498219373138582,-0.0569466811112372,0.0547919908909262,0.601211533212513,-0.328423449430629
"TmaxTotalAvg",-0.474484172802963,-0.033370992147267,0.0296176364989531,0.15006910672145,-0.0252972729650023,-0.0329267171000778,-0.00176989201114283,0.0875224884486314,-0.00828230080135697,0.076382228148048,-0.103526484847555,0.124179312215795,-0.0368183456374952,0.0507693057591899,-0.676601930678197,-0.4971935284447
"TmeanTotalAvg",-0.480306879131238,-0.0252086909163766,0.063052576788427,0.0409403932317494,-0.0149372791186868,0.0133040615880818,-0.00651226026151121,0.0232219991677907,0.0218137263089124,0.0406378431944797,-0.0020979237756468,0.282081428799901,-0.0460946987818568,0.0537455372088982,-0.174333341725186,0.803074881070822
"DtrTotalAvg",-0.332348451645837,-0.0516559304338162,-0.088369316299177,0.471245666005693,-0.0529248357743096,-0.17692838252456,0.0143354018208247,0.276998536578865,-0.105434250501049,0.174527465722982,-0.411355197514613,-0.428967777278529,0.00332620503632739,0.0277968729731346,0.387765916111414,0.002714503615815
"OrientationNum",0.0623057554252893,0.0591547210488969,-0.0886114090816996,-0.183851285197814,0.379680342657611,-0.566172032253027,0.527247164120349,0.237605628846292,0.2986341342735,0.200449699677332,-0.0203984802533135,0.146955720785868,0.0195616734285883,0.00737062425999366,3.28515161257382e-09,5.75558615917893e-10
"Slope",0.0657337631014568,-0.184184260560216,0.117903003000879,0.104671476966769,0.0434276080062073,0.690512067874218,0.33405796616451,0.206192416876141,0.430928278368902,0.335361060796898,0.0183111452389757,-0.0692631244788906,0.0148241428418273,0.0240089135691946,4.34237889711636e-09,5.23465645978476e-10
"pH_avg",0.0135360931360661,0.389173415481193,0.384423892142152,-0.0167559840494951,0.124436687888318,0.0678682169870222,0.0736312242737225,0.069162007536334,-0.501248480148008,0.421172805695142,0.147382457850788,0.0113239053154376,0.460173839095741,0.0880707520142761,-2.07158223968572e-09,-5.47076735081671e-10
"org_avg",0.049330742005725,0.178134910802915,0.503647073439933,0.217639443793451,-0.163856036760824,-0.184100177946089,-0.0781446215986474,-0.217718401688482,0.53029499567694,-0.243807740221602,-0.194803204203935,-0.00129254597843708,0.385934435223925,0.151681326401553,9.14360466590535e-09,-2.28600178342595e-09
"Franco",-0.0157108882096126,0.545318955696079,0.144088382105625,0.192108122725856,0.167552572448688,0.110817208648163,0.0769852295746112,-0.107130856931394,0.0464546415114145,-0.0494283186644702,-0.129691165086606,0.0425342410286763,-0.370669139977418,-0.652939188463922,3.20572234062587e-09,-3.73887696027283e-11
"Arcilloso",-0.0179934392095546,-0.302627140380405,0.299302263713318,-0.0843573927522451,0.453161665600678,0.175088040462643,0.229298971321071,0.105702310015039,-0.3013376900616,-0.547765277802095,-0.335959402843269,0.0168283142923202,0.0858217467166592,-0.0162552715381719,4.47038061027926e-09,-3.8922262046343e-09
"Limoso",-0.0754469588205992,0.501750763853726,-0.201590109493964,0.109505493311812,0.272619011380515,0.171161815188084,0.0830802459348028,-0.0289025471169307,0.0447425139083095,-0.260812944674921,0.136065405134076,-0.168256580862102,-0.231869770799842,0.63871416022925,-1.7534019643387e-08,-1.55141397049782e-09
"Arenoso",-0.0209510800569333,0.0645211615985891,0.0179533922633767,0.00482463599397974,-0.630333875528927,-0.0156458955105,0.699134942544591,-0.125019102310807,-0.222201792819389,-0.191819648938537,0.029188965044236,-0.0130780475280873,-0.070397054095751,0.0303355788669631,1.43835362201349e-10,3.26631508682364e-09
"Cascajoso",0.0760092516825406,-0.223570364038722,0.613017887910848,0.00948182231715215,0.01091088305282,-0.205307320058422,-0.0463831846633503,-0.0359944225618087,-0.0635820452807453,0.181475607295219,0.191346521906254,-0.17516546191199,-0.615272986595913,0.199518314355146,-5.94098342214807e-09,2.15373678023398e-09
