"","SICA","year","DefectosTotales","ASNM","Luminosidad","prec1","prec2","prec3","prec4","prec5","prec6","prec7","prec8","prec9","prec10","tmin1","tmin2","tmin3","tmin4","tmin5","tmin6","tmin7","tmin8","tmin9","tmin10","tmax1","tmax2","tmax3","tmax4","tmax5","tmax6","tmax7","tmax8","tmax9","tmax10","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","dtr1","dtr2","dtr3","dtr4","dtr5","dtr6","dtr7","dtr8","dtr9","dtr10","PrecTotal","TminTotal","TmaxTotal","TmeanTotal","DtrTotal","PrecTotalAvg","TminTotalAvg","TmaxTotalAvg","TmeanTotalAvg","DtrTotalAvg","OrientationNum","Slope","pH_avg","org_avg","Franco","Arcilloso","Limoso","Cascajoso","PuntajeTotal"
"SICA",1,0.17469911786053,-0.110620846450584,0.0567661589625367,-0.075153611791181,-0.217475970641543,-0.196783253680181,-0.111254478813308,-0.117817742381656,-0.0554098363767822,-0.09702874598212,-0.194095072964308,-0.0939372394826792,-0.0493210418540747,-0.192698536305102,-0.0855759742289738,-0.0519620033693104,-0.0311720762723659,-0.0657308641365302,-0.00172383370086683,-0.0365961714846509,-0.0709948867549966,0.00356780122377458,0.0105895200355269,0.0091220311852322,-0.0293942435344556,0.0860131879708867,0.0235626505963394,-0.0609545085292995,-0.00303691907928106,0.0577430207136137,0.0854924248160775,0.041716697003978,0.0146973251994793,0.0301357468292913,-0.0534051892816686,0.0347783511765966,0.00203398280942058,-0.0657559686679097,-0.00268321316753058,0.0184517738488086,0.0241071555866785,0.0278356293310995,0.0137467887498421,0.0236809465851366,0.0498411338171901,0.207269229002868,0.0858637199854945,-0.0300214344705005,-0.0026583140727432,0.147018586592354,0.240513246267724,0.0745725539877734,0.0134183799490281,0.0400577082895,-0.183024513446337,-0.0337179340070388,0.0255256213436242,0.00212189056109144,0.0922951075653981,-0.18302451344626,-0.0337179340068287,0.0255256213436666,0.00212189056104556,0.0922951075653828,-0.0125670664117277,0.0343676491611437,-0.17770745816455,-0.0463296514305897,-0.0576473225835881,0.00739344402838463,0.0551786827331229,0.0153065026781386,-0.00997220664906405
"year",0.17469911786053,1,-0.704874249542104,0.18195239329647,-0.0885918529389274,-0.0305320209175582,0.0392782162423701,-0.491380622191569,-0.790398468269369,-0.776699693392287,-0.769328663576001,-0.435025961883326,0.156046620154999,-0.466598604804079,-0.910450369755218,-0.176042482303178,-0.270836094128617,-0.210284166015168,-0.239095222465626,-0.197001049119759,-0.043841189151237,-0.000509526687333487,0.0749228265807325,0.0851468561025729,0.192285677996847,0.053895364685601,-0.0395815976943926,-0.0832365582951651,0.103824343565302,0.355708946182286,0.354497327237238,0.183051183875338,0.116720412930944,0.295530441237502,0.519772855376034,-0.0385817352938495,-0.131894966455988,-0.13686592363394,-0.0333299148288461,0.13823648222026,0.193785604705448,0.114009354001624,0.103438743797195,0.225694946945094,0.421266959966685,0.314462185304891,0.222184076856741,0.105038939670211,0.436147191406938,0.714204295160868,0.670671938172197,0.333261251729472,0.132499940640946,0.397267865461102,0.660660750834836,-0.733082441027963,-0.087026078429027,0.197909984694447,0.0874597890210747,0.494029950909645,-0.733082441027959,-0.0870260784288031,0.197909984694856,0.0874597890210475,0.494029950909544,-0.0781671514776976,0.0391139984764085,0.00569782613089192,0.0440062642890605,0.0809577501131734,0.00469041967386983,0.0223189395392249,0.0140671747340707,0.27049784868986
"DefectosTotales",-0.110620846450584,-0.704874249542104,1,-0.286017479132226,0.091975792313757,0.0691765020193556,0.0335644517245701,0.372852691263797,0.597033364815315,0.581812737334856,0.608032195087188,0.402419461468545,-0.0603937597492199,0.377302346900527,0.665833659555701,0.245407169104346,0.315197756036285,0.281023048259437,0.298160179658161,0.272704488150898,0.170875089264893,0.129750807395212,0.0834614007517049,0.0628778881049455,0.00844888845324198,0.100237939593811,0.167829332281508,0.212664306242616,0.0839878409178777,-0.101887931104608,-0.10851480106597,0.0256431344906367,0.065360859580642,-0.0538957611138763,-0.225704324914144,0.163088141880467,0.231655376894973,0.245972235409023,0.176543882147512,0.0558497095799101,0.0107795106746446,0.069436062406497,0.0742577478076464,-0.0100377458561895,-0.149191715592823,-0.113383929775325,-0.0444106862690878,0.0582149661890251,-0.186304670610354,-0.42297975202332,-0.407227476860534,-0.109024318899881,0.0255268831676222,-0.150652499277001,-0.366442719889376,0.581480104660903,0.197427774085502,0.0162480794627842,0.0904721627717409,-0.219340536149466,0.581480104660819,0.197427774085418,0.0162480794624503,0.0904721627721253,-0.219340536149427,0.0411859477581157,-0.0674452640500422,-0.00420261464182876,0.0215249514399361,-0.00121307904386526,-0.0337876637042903,0.00848046083415483,-0.0197153355083513,-0.241589784642602
"ASNM",0.0567661589625367,0.18195239329647,-0.286017479132226,1,0.0417380109734063,-0.202533395877146,-0.200633896771212,-0.217699550882729,-0.260698038565876,-0.308207414331848,-0.314632083886152,-0.331644475446614,-0.202625266456969,-0.276039689200525,-0.265897801223551,-0.770987701503501,-0.793888822756821,-0.799662661127452,-0.79725844210386,-0.789852799033738,-0.780418862709543,-0.760590702260233,-0.758766358546941,-0.764901605080911,-0.735456282195637,-0.757141863692252,-0.759718607084232,-0.756064078177573,-0.723021746491852,-0.649224917601213,-0.662376402318762,-0.722359426392853,-0.75875549208072,-0.660667222289331,-0.529939461832541,-0.788000709943215,-0.79978424930232,-0.793762024382072,-0.787253387826872,-0.759553951867969,-0.745999835696223,-0.7639684409103,-0.779349248687067,-0.732608343221319,-0.627431587266921,-0.463293544834622,-0.480888880379475,-0.461143749579001,-0.33682279657991,-0.142807444448142,-0.147240155187975,-0.400449240771417,-0.542712592045702,-0.315039951644956,-0.206840447224239,-0.367683674033664,-0.803064644285416,-0.734146583513969,-0.782837997582521,-0.402216229110414,-0.367683674033656,-0.803064644285932,-0.734146583513472,-0.782837997582144,-0.402216229110524,-0.0473609948846193,0.0697745016758572,0.107185378682693,0.0884417440084581,0.0676168238417366,-0.158630753407457,-0.0605845269797021,0.0403091181091987,0.0527138852042586
"Luminosidad",-0.075153611791181,-0.0885918529389274,0.091975792313757,0.0417380109734063,1,0.0267214317041946,0.110509136524861,0.225451252435253,0.175187057871736,0.132357966492327,0.114809026833417,0.124165178298482,0.074665490698896,0.191520255981987,0.15335530735983,0.0812294031212513,0.0803813405497707,0.0366737404855052,0.0846090673772569,0.0714929888882053,0.0421071411536809,0.0632592385251129,0.0642140951776684,0.049875477570663,0.016397630041832,0.0513948073298597,0.0447470847603328,0.000366472045901677,-0.0214818010484592,-0.00735050071465216,0.0203000289356098,0.0272435375146846,0.0172584723188955,-0.022229852445693,-0.0466510840227765,0.0653357293051832,0.0603264789677079,0.015071354010429,0.0214432537417053,0.0268977104033897,0.0309608164822626,0.0430513757292625,0.0362056284233669,0.00536281973668409,-0.0254606141291365,-0.00377278089857151,-0.00790025218494043,-0.0460238276051298,-0.128779003622103,-0.0828444728073642,-0.0188146188901285,-0.0263653397076455,-0.0427153343984966,-0.0860169214552344,-0.0884179886070568,0.201052713184764,0.0611467017318016,0.00569441523871104,0.028431887242971,-0.0666505284576916,0.201052713184838,0.0611467017322878,0.00569441523903754,0.0284318872431046,-0.0666505284576234,0.0334080806615238,-0.0696876975355144,0.233450278862003,0.127685494801197,0.143101985211517,-0.133274655677618,0.107625866338782,0.00311019470119077,-0.012308451325407
"prec1",-0.217475970641543,-0.0305320209175582,0.0691765020193556,-0.202533395877146,0.0267214317041946,1,0.523344018671871,0.213604298917678,-0.15088105428638,0.0418168300120646,0.309593361564227,0.618503770890245,0.361440023991544,0.282555596299301,0.0935919399925229,0.318917098081496,0.233796032477654,0.296990773173442,0.27274285140997,0.277266478503908,0.395560911123613,0.358603703222664,0.235258643133945,0.316251835702411,0.333001547723362,0.216138560976809,0.0491526492082085,0.277913280297006,0.444556997876141,0.273048930756279,0.212704610905357,0.271533094922076,0.257038300783084,0.26131937882903,0.23369950327133,0.26546429048468,0.123474717213182,0.293005349930859,0.39402491274148,0.295210625009981,0.304089924390406,0.317113748068615,0.255442098092793,0.295214355075155,0.279874325486647,0.0117909640398261,-0.165442485442447,0.165617433687865,0.445592084482057,0.115529580559275,-0.13860970658211,0.0633312895459404,0.209393976416628,0.11094225973049,0.0837126335234694,0.377034449245648,0.315391275131403,0.26347413935836,0.292016530070695,0.109814019259085,0.377034449245641,0.315391275131323,0.263474139358177,0.292016530070712,0.109814019259103,0.0219453560375798,-0.0443855222161738,0.228616696357362,-0.125657570466044,0.152768200885756,0.0090783700521471,0.0880054798729918,-0.100125131124613,0.0113249484639815
"prec2",-0.196783253680181,0.0392782162423701,0.0335644517245701,-0.200633896771212,0.110509136524861,0.523344018671871,1,0.647614563690137,-0.0920636873445755,-0.244382742839569,-0.0257204434147464,0.60777619446702,0.81128449107151,0.700260915888581,0.117604353571672,0.262152864429612,0.257893060979403,0.220904621432653,0.300444488962158,0.178195494466244,0.33819756565243,0.365114576522698,0.317172994580714,0.306170474537645,0.375399263305129,0.406496129324639,0.053070347283697,0.00168336873268629,0.285772718489415,0.401908713616181,0.33496841852056,0.314548502258054,0.227266731916179,0.151118811548117,0.196184385257723,0.360838378601988,0.13546394919448,0.0904566290916419,0.305086867273826,0.333061799273932,0.3521187963548,0.346635652532208,0.268815368791532,0.219656040204954,0.270118295924477,0.433742269637296,-0.184514311263391,-0.278251292643807,0.149217553961475,0.402236357580828,0.146875157060011,0.133691963632033,0.0571363215653029,-0.0588081709184969,-0.0126660350869092,0.511636522836372,0.300524127698693,0.246850519083993,0.275640893704463,0.0964923524532644,0.511636522836414,0.300524127698953,0.246850519083751,0.275640893704305,0.0964923524532559,0.0749706440217472,-0.0359691466115933,0.177788316332392,-0.107749336615719,0.13473398203639,-0.0959614628811715,0.0957954605265412,-0.149820207057905,0.0416078843479356
"prec3",-0.111254478813308,-0.491380622191569,0.372852691263797,-0.217699550882729,0.225451252435253,0.213604298917678,0.647614563690137,1,0.521126960508184,0.368199853025696,0.386470144327194,0.572557147065105,0.427541995110887,0.940153812971056,0.698896047702507,0.35231248778379,0.334255489547089,0.284394619270191,0.347193173780799,0.257373297012419,0.237893384533553,0.269020605977041,0.21544838067295,0.210363728698445,0.13476616654715,0.325140968950312,0.129903004266122,0.0295525314272002,0.0463357962725653,0.0594962471096767,0.100874514647618,0.189341060735605,0.106959908602458,-0.100254641578084,-0.19061142865944,0.347094808579328,0.21480492130015,0.133482264526299,0.173033924637602,0.151245440792527,0.166607240071082,0.228934971455153,0.152556740136032,0.0184023143008263,-0.0791637057188818,0.173080089945628,-0.131650683356015,-0.304604343933356,-0.303154654270375,-0.173723919822114,-0.130242498373259,0.0214145067481304,-0.0507066440728268,-0.373396272180514,-0.419904565981754,0.866146865743876,0.27494369960613,0.0685274384834995,0.154495787999389,-0.216525109829986,0.866146865743905,0.274943699606596,0.0685274384830391,0.154495787999306,-0.216525109829921,0.098735320147224,-0.0605118459068266,0.16542001192905,-0.0450178122319808,0.0826506476596434,-0.112056912285813,0.100407142596158,-0.0842204186332247,-0.0934530714626613
"prec4",-0.117817742381656,-0.790398468269369,0.597033364815315,-0.260698038565876,0.175187057871736,-0.15088105428638,-0.0920636873445755,0.521126960508184,1,0.847754037881115,0.729106313091383,0.386007930414255,-0.0929086280414028,0.419096872010803,0.823470508494614,0.292584389374475,0.391516566544412,0.340501649395511,0.324447830340361,0.352386812874007,0.185001801105035,0.11463931186767,0.127237154208346,0.0824149425795174,-0.032290625132076,0.155190694207956,0.301569521042126,0.274395412696104,0.0276903300838891,-0.129646343328494,-0.0669493181860517,0.0463082490163174,0.101795846526436,-0.0308140406072143,-0.249449324826584,0.216680806471143,0.347506306369949,0.308428823087971,0.151827297213132,0.0734425892808732,0.0420790047558378,0.0761071824062975,0.114570306769166,0.0127048871295053,-0.18016193098889,-0.069055584613007,0.108592074099828,0.103274254099464,-0.309443917702767,-0.543656139760657,-0.353299213103422,-0.0533457777922628,0.0429804747113838,-0.132478239089031,-0.368973582190043,0.724599837206089,0.23032684544586,0.0435912161330225,0.120845813182798,-0.208157579914212,0.724599837206006,0.230326845446071,0.0435912161327495,0.120845813182931,-0.208157579914094,0.0893446556254071,-0.092296651416329,0.0494306473096347,0.0390057761645925,0.0599276777414483,-0.156549071909171,0.107617851831944,-0.0956359951120174,-0.213040858757788
"prec5",-0.0554098363767822,-0.776699693392287,0.581812737334856,-0.308207414331848,0.132357966492327,0.0418168300120646,-0.244382742839569,0.368199853025696,0.847754037881115,1,0.907600375090605,0.345328505755018,-0.350165107692929,0.322876698603001,0.80746262287362,0.398268064988509,0.405243005716501,0.402170734320965,0.396831060503501,0.418305926277943,0.263492267482686,0.20960766038158,0.149136734343077,0.146678241295522,0.0133448139283853,0.140886170255108,0.3318147692392,0.39392515674211,0.15145505951463,-0.138394450286135,-0.0975661360400633,0.0978133873655735,0.182226924908851,0.0151313831024971,-0.214279547111668,0.251093146052812,0.372316783793311,0.407709840929074,0.260054885100727,0.0969957436211629,0.0586006279439158,0.147355956462644,0.174149548574176,0.068047055633332,-0.139686515782619,-0.224386755940745,0.147000044712679,0.25870804754495,-0.181499357622139,-0.622896404021214,-0.507027600141244,-0.0736539473482794,0.169145350121673,-0.121609447616033,-0.352500418203342,0.668746593219012,0.295694258614949,0.0900230796224735,0.17629215165526,-0.201238073557957,0.668746593218987,0.295694258614656,0.0900230796222776,0.176292151655331,-0.201238073557817,0.0325078513767458,-0.0566124446333175,0.0361975663647759,-0.00212697077669386,0.0137339617250587,-0.0308310262824931,0.0702776350049953,-0.0459365596853032,-0.195230384286214
