"","SICA","DefectosTotales","ASNM","Luminosidad","prec1","prec2","prec3","prec4","prec7","dtr3","dtr6","OrientationNum","Slope","pH_avg","org_avg","Franco","Arcilloso","Arenoso","Cascajoso","PuntajeTotal"
"0",6607500996,3.27,1536,2,145.655600586,205.83947998,257.519198608,195.011119995,184.180201416,8.97415924072,9.05680084229,114.7490005,32.1693993,5.625,0.02175,3,3,0,0,82
"1",6607500981,3.37,1650,2,147.673640137,193.916400146,257.884317627,197.673759155,177.609678955,8.11268043518,8.22891998291,139.4850006,16.3351994,5.625,0.02175,3,3,0,0,79
"2",6607501034,2.49,1444,1,138.982078857,205.851759033,242.809320068,178.794560547,173.090200806,9.78424072266,9.56184005737,290.7260132,32.6622009,5.35,0.0523333333333,3,3,0,1,78.5
"3",6607500081,2.72,1344,2,139.238720093,205.73631958,235.84447998,178.932759399,174.635160522,10.274559021,9.69599914551,116.5650024,32.3791008,5.4,0.038,3,0,0,0,80
"4",6607500108,5.96,1354,2,135.70236084,196.86907959,225.34447937,170.141558838,160.563280029,10.5698413849,9.74440002441,178.3630066,29.5702991,5.35,0.0523333333333,3,3,0,1,75.5
"5",6607500309,2.6,1568,2,146.721480103,200.230720215,258.594281616,196.977960205,180.504158936,8.50592041016,8.64252090454,94.4972,19.8834,5.4,0.038,3,0,0,0,81
"6",6607500014,2.78,1505,2,146.140280151,203.069520264,257.035401001,199.094400024,189.82460022,8.79115867615,8.81559944153,11.7683001,30.7903996,5.4,0.038,3,0,0,0,76.375
"7",6607500148,2.67,1318,2,141.535239868,208.818560791,242.029041138,182.528279419,177.365961304,10.0195598602,9.69483947754,37.5041008,23.7098007,5.625,0.02175,3,3,0,0,74.75
"8",6607500516,1.3,1552,2,143.263719482,205.893320313,254.750961304,187.448800659,174.027518921,9.20576095581,9.33407974243,93.9451981,13.2531004,5.4,0.038,3,0,0,0,79
"9",6607501187,1.55,1454,2,146.046480713,204.142080688,258.39184082,195.522799072,182.003240967,8.8207988739,8.94307899475,183.6009979,30.1334991,5.625,0.02175,3,3,0,0,79
"10",6607500304,1.78,1593,2,146.046480713,204.142080688,258.39184082,195.522799072,182.003240967,8.8207988739,8.94307899475,97.0165024,27.9514999,5.4,0.038,3,0,0,0,79
