"","errors","errors","errors"
"SICA",0.000220244310865801,0.0364444715358423,0.00186342342961153
"DefectosTotales",0.49293657288875,0.15688951500519,0.0377903066494953
"ASNM",0.000669337974787481,4.70198119778024e-05,1.51715112543433e-05
"Luminosidad",0.000148717152656172,0,6.54336684774589e-07
"prec1",4.60043323725688e-05,0.000177949577907476,2.46724386812473e-05
"prec2",0.0463261378718443,0.109263452855154,0.00240353288766479
"prec3",0.000281568072382386,0.00380579212106681,7.83693253073234e-06
"prec4",1.26296499108858,3.97479296137496,0.0618973267854635
"prec7",0.00513365021904356,0.0266389641211004,0.000835355704818892
"OrientationNum",0.00293269513921735,0.0560397324734772,3.43922750380474e-08
"Slope",0.00190700073874616,0.0322021293692246,0.00101047364848595
"org_avg",0.000235940688801672,1.75359960011884e-05,1.52317146954886e-05
"Franco",0.000305552704264517,0.000322661014699131,9.49144757571627e-05
"Arcilloso",0,0.00876877466203952,5.21317511917686e-05
"Arenoso",0.0129823925600509,0.0569622560744037,0.00263957944396027
"Cascajoso",3.04347140440405e-05,0.00202396881973466,0
