"ID","SICA","year","DefectosTotales","ASNM","Luminosidad","prec1","prec2","prec3","prec4","prec5","prec6","prec7","prec8","prec9","prec10","tmin1","tmin2","tmin3","tmin4","tmin5","tmin6","tmin7","tmin8","tmin9","tmin10","tmax1","tmax2","tmax3","tmax4","tmax5","tmax6","tmax7","tmax8","tmax9","tmax10","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","dtr1","dtr2","dtr3","dtr4","dtr5","dtr6","dtr7","dtr8","dtr9","dtr10","PrecTotal","TminTotal","TmaxTotal","TmeanTotal","DtrTotal","PrecTotalAvg","TminTotalAvg","TmaxTotalAvg","TmeanTotalAvg","DtrTotalAvg","OrientationNum","Slope","pH_avg","org_avg","Franco","Arcilloso","Limoso","Arenoso","Cascajoso","PuntajeTotal"
"10",6607500304,2011,1.78,1593,2,146.046480713,204.142080688,258.39184082,195.522799072,199.892919312,220.659438477,182.003240967,125.532680664,272.582480469,326.505400391,16.8688399124,16.7717599106,16.7963999557,17.0022799683,16.7820400238,16.5929598618,16.6876799774,16.546680069,16.4335599136,16.3010801315,26.0649199677,25.79147995,25.6171998596,25.8617601013,25.6161999512,25.5360402679,26.029960022,26.2335597992,25.0630401611,24.5890801239,21.4668798447,21.281619072,21.2067995071,21.4320192337,21.1991195679,21.064499855,21.3588199615,21.3901205063,20.7482995987,20.4450807571,9.1960811615,9.01972007751,8.8207988739,8.85947990417,8.83415985107,8.94307899475,9.34228134155,9.68688011169,8.62948036194,8.28800010681,2131.27936157,166.783279724,256.403240204,211.593257904,89.6199607849,213.127936157,16.6783279724,25.6403240204,21.1593257904,8.96199607849,97.0165024,27.9514999,5.4,0.038,3,0,3,0,0,79
"20",6638300269,2011,1.29,1636,2,140.781638794,178.762120361,242.26815979,188.916799316,190.641359253,215.01828186,170.122641602,133.388518982,245.142799683,306.833637695,16.4430400467,16.3762399673,16.2023599625,16.5893599701,16.449079895,16.0948799133,16.5827999496,16.2833198929,16.1289600372,15.6744799805,24.1333200073,23.5834398651,23.7136399841,23.6774799347,23.89083992,23.5795598602,24.4899600983,24.33352005,23.0872402954,22.2183600616,20.2881803513,19.9798402786,19.9580001831,20.1334199905,20.169960022,19.8372192383,20.5363798141,20.3084201813,19.6080999374,18.9464206696,7.69027900696,7.20720100403,7.51128005981,7.08812141418,7.44176101685,7.48468017578,7.9071598053,8.05020141602,6.95828056335,6.54388046265,2011.87595734,162.824519615,236.707360077,199.765940666,73.8828449249,201.187595734,16.2824519615,23.6707360077,19.9765940666,7.38828449249,151.7630005,26.4102001,5.4,0.038,3,0,3,0,0,75.5
"21",6638300654,2011,0.7,1817,2,137.533158264,167.955200195,234.145880737,182.978039551,184.513560181,199.531561279,160.74132019,131.381441345,233.847078857,292.695357666,16.3034798813,16.196519928,15.9314399338,16.3965200043,16.2708800125,15.79231987,16.4149199677,16.043839798,15.8982800674,15.3977199554,23.5581999207,22.8811598969,23.1172799683,23.0471601105,23.3857601929,22.9615602112,24.1094000244,23.7511200714,22.6010400391,21.6556000519,19.9308404922,19.5388402939,19.5243597031,19.7218399048,19.8283195496,19.3769397736,20.2621603012,19.897480011,19.2496600151,18.5266599655,7.25472068787,6.6846408844,7.18583869934,6.65063858032,7.11487960815,7.16923904419,7.69447898865,7.70727920532,6.70275974274,6.2578792572,1925.32259827,160.645919418,231.068280487,195.85710001,70.4223546982,192.532259827,16.0645919418,23.1068280487,19.585710001,7.04223546982,97.2957993,49.7282982,5.4,0.038,3,0,3,0,0,0
"30",6638301680,2011,1.3,1664,2,139.272078857,177.08328064,239.53499939,186.064598999,188.187839966,212.0340802,167.208040771,132.335721436,242.727159424,304.394919434,16.3843201447,16.3203998947,16.1394798279,16.5467598343,16.4047198868,16.0465999985,16.5634799194,16.2496397781,16.0916399384,15.6227598953,23.9593198395,23.3885999298,23.5425600433,23.5059200287,23.7559600067,23.4309200287,24.3629599762,24.1938399506,22.9233200836,22.0327998352,20.1718196869,19.8544998169,19.8410205841,20.0263404846,20.0803403854,19.7387599945,20.4632205963,20.221739769,19.5074806213,18.8277802467,7.57500076294,7.06819915771,7.40307998657,6.95915985107,7.35124015808,7.38431930542,7.79948043823,7.94420051575,6.83168029785,6.41004085541,1988.84271912,162.369799118,235.096199722,198.733002186,72.726401329,198.884271912,16.2369799118,23.5096199722,19.8733002186,7.2726401329,0,0,5.4,0.038,3,0,3,0,0,76.5
"36",6600100265,2011,2.66,1601,2,125.300279236,163.69987915,203.139678955,287.904199219,237.031240234,230.055680542,238.597839966,194.636479492,147.007198486,280.289158936,16.8506399536,17.0715600586,17.065960083,16.920960083,17.1546000671,16.9887998962,16.8358000183,16.6842401123,16.6735598755,16.4833600616,26.3218000031,26.6098800659,26.3729199219,26.2234801483,26.3484799194,25.9290401459,25.8806801605,26.7107200623,26.5163198853,25.7911601257,21.5862197876,21.8407201767,21.7194395065,21.5722198486,21.751540184,21.4589204788,21.3582401276,21.6974802017,21.5949392319,21.137260437,9.47116088867,9.53832054138,9.30695915222,9.30252075195,9.19388008118,8.94024085999,9.04487991333,10.0264797211,9.84276008606,9.30780029297,2107.66163422,168.729480209,262.704480438,215.71697998,93.9750022888,210.766163422,16.8729480209,26.2704480438,21.571697998,9.39750022888,192.1710052,11.9343996,5.625,0.02175,3,3,3,0,0,0
"43",6600101064,2011,3.74,1239,2,115.356880493,148.856519165,205.533280029,251.606519775,190.246240234,179.104639282,146.863078918,148.402880554,122.036000366,254.11987915,17.4311599731,17.7433200836,17.6789599609,17.6555998993,17.9062797546,17.6894399261,17.3537200928,17.3154000854,17.2254800415,17.2565198517,28.0467599487,28.0103598022,27.7586401367,27.2799200439,27.5521199799,26.9922399902,27.0519599152,27.8851598358,27.8919998932,27.1056400299,22.7389602661,22.8768405914,22.7188005447,22.4677600861,22.7292003632,22.3408403397,22.2028398514,22.600279808,22.5587396622,22.1810798645,10.6156005859,10.2670402527,10.0796794891,9.62432098389,9.64583969116,9.3028011322,9.69824028015,10.5697612762,10.6665210724,9.84912109375,1762.12591797,175.255879669,275.574799576,225.415341377,100.318925857,176.212591797,17.5255879669,27.5574799576,22.5415341377,10.0318925857,202.2489929,10.9011002,5.35,0.0255,3,1,3,0,0,71.375
"47",6600101625,2011,1.22,1360,2,124.872160645,162.100040283,218.314599609,282.19592041,218.402241211,205.784159546,195.356918335,174.303718262,136.939960327,284.114559326,17.255639801,17.3834401703,17.4336800385,17.3278401184,17.5707198334,17.2937600708,17.1465601349,16.9488000488,16.9779602814,16.8471199799,27.3722400665,27.4638400269,27.3847999573,27.0917999268,27.2547999573,26.7234802246,26.7290397644,27.5705199432,27.4797200775,26.744039917,22.3139400482,22.4236402512,22.409239769,22.2098207474,22.4127607346,22.0086202621,21.9378004074,22.2596597672,22.2288398743,21.7955799103,10.1166000366,10.0804004669,9.95112037659,9.76395988464,9.6840801239,9.42971992493,9.58247947693,10.6217212677,10.5017585754,9.89691925049,2002.38427795,172.185520477,271.814279861,221.999901772,99.6287593841,200.238427795,17.2185520477,27.1814279861,22.1999901772,9.96287593841,46.0051003,18.0877991,5.4,0.038,3,0,3,0,0,0
"67",6600100220,2011,1.91,1595,2,153.734040527,181.919679565,266.825517578,223.85868042,209.325119019,198.038719482,161.741560059,129.137600098,246.373240967,295.224559326,16.2004801941,16.0914398956,16.0450398636,16.1832401657,16.1098399734,15.8134000397,15.6569999695,15.6226399994,15.5086399841,15.4041200256,24.8947601318,24.6142799377,24.3520001221,24.61583992,24.2839201355,24.3269600677,24.9320797729,24.8853201294,23.8520000458,23.3715200806,20.5476198196,20.3528604507,20.1985197067,20.3995399475,20.1968803406,20.0701799393,20.2945394516,20.2539801598,19.6803197861,19.3878207207,8.69428062439,8.52284049988,8.30695915222,8.43259811401,8.17407989502,8.51355934143,9.27507972717,9.26268100739,8.34335899353,7.96740055084,2066.17871704,158.635840111,244.128680343,201.382260323,85.4928379059,206.617871704,15.8635840111,24.4128680343,20.1382260323,8.54928379059,122.7839966,29.6229,5.1,0.058,3,0,3,0,0,81.375
"73",6600100331,2011,0.5,1551,2,162.846517334,200.677320557,286.811518555,234.668521118,225.333560181,229.658400269,186.451640015,142.872321167,275.540001221,328.905078125,17.0056799316,16.9993600464,16.863239975,17.0777599335,16.9237998962,16.7560401154,16.5720798492,16.5732398987,16.3952400208,16.3030400085,26.4394001007,26.2112798309,26.0649200439,26.2091999054,25.7883998871,25.7377598572,26.5819200897,26.388239975,25.6273200989,25.1309200287,21.7225399017,21.6053190231,21.4640798569,21.6434803009,21.3561000824,21.2469005585,21.577000618,21.4807405472,21.0112800598,20.7169799805,9.43371963501,9.21191978455,9.20168113708,9.13143920898,8.86460113525,8.9817199707,10.0098400116,9.81500053406,9.23207855225,8.82788085938,2273.76487854,167.469479675,260.179359817,213.824420929,92.7098808289,227.376487854,16.7469479675,26.0179359817,21.3824420929,9.27098808289,271.0809937,23.2434998,5.1,0.058,3,0,3,0,0,81.25
"80",6600101620,2011,1.09,1400,1,161.753759766,217.699039917,281.861519775,217.577440186,203.852800903,193.308400879,172.557279663,136.534198914,282.937683105,324.791798096,17.37852005,17.4327598572,17.3323199463,17.5674398041,17.2907600403,17.142519989,16.9365599823,16.9687199402,16.8434400177,16.8279999542,27.4814399719,27.4140800476,27.1301199341,27.2929998016,26.7572798157,26.7490000916,27.6197199249,27.5128001404,26.7791999054,26.5729598999,22.429980278,22.4234199524,22.2312192917,22.4302196503,22.024020195,21.9457607269,22.2781400681,22.2407598495,21.8113193512,21.7004795074,10.1029186249,9.98131942749,9.79780006409,9.72555923462,9.46652030945,9.60647964478,10.6831607819,10.5440807343,9.93576049805,9.74496078491,2192.8739212,171.721039581,271.309599533,221.515318871,99.5885601045,219.28739212,17.1721039581,27.1309599533,22.1515318871,9.95885601045,280.0079956,7.9621801,5.4,0.038,3,0,3,0,0,77.25
"82",6600101209,2011,2.34,1289,2,153.365839844,212.672401123,258.076640625,200.424638672,191.537200928,166.235879517,161.006600342,127.041800232,264.209481201,302.887556152,17.7456399536,17.6781201172,17.5981199646,17.89916008,17.6669998932,17.3565201569,17.3434397888,17.2417198944,17.2201198578,17.2080001831,27.8069999695,27.5398401642,27.0124799347,27.2874799347,26.734119873,26.873039856,27.5461999512,27.6421998596,26.8352397919,26.7749200439,22.7763195038,22.6089801788,22.3052997589,22.5933198929,22.2005596161,22.1147794724,22.4448194504,22.4419603348,22.0276794434,21.9914598465,10.0613594055,9.86172103882,9.41436004639,9.3883190155,9.06711959839,9.51651954651,10.2027606964,10.4004802704,9.61511993408,9.56691932678,2037.45803864,174.95783989,272.052519379,223.505177498,97.0946788788,203.745803864,17.495783989,27.2052519379,22.3505177498,9.70946788788,116.5650024,4.1449399,5.4,0.038,3,0,3,0,0,76.5
"85",6600101067,2011,1.65,1247,2,148.856519165,205.533280029,251.606519775,190.246240234,179.104639282,146.863078918,148.402880554,122.036000366,254.11987915,294.163076172,17.7433200836,17.6789599609,17.6555998993,17.9062797546,17.6894399261,17.3537200928,17.3154000854,17.2254800415,17.2565198517,17.2343598938,28.0103598022,27.7586401367,27.2799200439,27.5521199799,26.9922399902,27.0519599152,27.8851598358,27.8919998932,27.1056400299,27.0104400635,22.8768405914,22.7188005447,22.4677600861,22.7292003632,22.3408403397,22.2028398514,22.600279808,22.5587396622,22.1810798645,22.1224002838,10.2670402527,10.0796794891,9.62432098389,9.64583969116,9.3028011322,9.69824028015,10.5697612762,10.6665210724,9.84912109375,9.77608108521,1940.93211365,175.05907959,274.538479691,224.798781395,99.4794063568,194.093211365,17.505907959,27.4538479691,22.4798781395,9.94794063568,260.8380127,7.2495999,5.35,0.0255,3,1,3,0,0,79
"89",6600100677,2011,1.02,1421,2,164.975680542,218.226438599,287.624521484,228.054119263,219.921560059,216.991880493,185.840519409,142.691841431,289.287801514,332.590681152,17.3287201691,17.3724401093,17.2397999573,17.4999200439,17.2470398712,17.124200058,16.936360321,16.9490398407,16.7763600159,16.7513600922,27.2720401764,27.1438800812,26.8812399292,27.0279199219,26.5124398804,26.5376800537,27.3428400421,27.236920166,26.5236001587,26.2437600708,22.3003797531,22.2581605911,22.0605201721,22.2639198303,21.8797397614,21.8309402466,22.1395998001,22.0929794312,21.6499795914,21.4975595474,9.94331932068,9.77144050598,9.64144134521,9.52799987793,9.26539993286,9.41347885132,10.4064807892,10.2878799438,9.74724006653,9.4923992157,2286.20504395,171.225240479,268.72232048,219.973778725,97.4970798492,228.620504395,17.1225240479,26.872232048,21.9973778725,9.74970798492,225,11.3387003,5.4,0.038,3,0,3,0,0,80.25
"90",6600103238,2011,3.55,1304,2,158.097601318,219.584760132,267.041400757,211.63788147,205.438959961,187.925321045,175.469640503,132.693439941,276.848720703,314.620280762,17.6668798065,17.5983200836,17.4889599609,17.8110800171,17.5610800171,17.2981600952,17.2843199158,17.1912800598,17.1050801086,17.1001599884,27.6036000061,27.3560400391,26.8188001251,27.0917999268,26.5406401825,26.7241601563,27.2592398834,27.4172400665,26.5989199066,26.5378399658,22.6352396011,22.477180481,22.1538801193,22.4514408112,22.050860405,22.0111598969,22.271780014,22.3042602539,21.8520002365,21.8190002441,9.93671989441,9.75772094727,9.32983970642,9.28071975708,8.9795589447,9.42599868774,9.97491836548,10.2259597778,9.49384117126,9.43767929077,2149.35800659,174.105320053,269.948280258,222.026802063,95.8429565429,214.935800659,17.4105320053,26.9948280258,22.2026802063,9.58429565429,291.0379944,6.4387202,5.4,0.038,3,0,3,0,0,77.75
"95",6604500956,2011,1.05,1646,1,139.053079224,173.869639893,242.897999878,199.097079468,196.739078979,225.135718994,183.973799438,143.785678711,235.4131604,310.650198975,16.3312400818,16.3194000244,16.2434000778,16.5595198441,16.2859602356,16.1900400543,16.5310002518,16.303480072,16.2249599457,15.8338401413,25.2942399597,25.0370800018,24.6365200043,24.6578401184,24.6147602081,24.5680000305,24.9337199402,25.1992398834,24.0324801636,23.3706000519,20.8127393723,20.6782407761,20.4399604797,20.6086807251,20.4503602982,20.3790206909,20.7323598862,20.7513599396,20.1287202835,19.6022200584,8.96299934387,8.71767997742,8.39311981201,8.09832000732,8.32879829407,8.37796020508,8.40271949768,8.89575958252,7.80751991272,7.53675937653,2050.61543396,162.822840729,246.344480362,204.58366251,83.5216360092,205.061543396,16.2822840729,24.6344480362,20.458366251,8.35216360092,125.8820038,25.1737003,5.625,0.02175,3,3,3,0,0,77.75
"99",6604500515,2011,2.04,1713,2,124.669320984,142.403880615,212.290439453,173.681241455,167.055440063,174.447119751,139.72216156,128.425719299,199.999960327,262.408881836,15.7834399796,15.663400116,15.2496400452,15.8912801361,15.6731202316,15.153440094,16.0441199875,15.5105200577,15.4297599792,14.8927199554,23.042519989,22.4261598969,22.3643599701,22.3615598297,22.7511600494,22.311720047,23.4834398651,23.0847601318,22.2004801941,21.278040123,19.4129800797,19.0447802544,18.8070006371,19.1264195442,19.2121400833,18.7325801849,19.7637805939,19.2976403236,18.8151197433,18.0853800774,7.25908088684,6.76276111603,7.11472034454,6.47027873993,7.07803916931,7.15827941895,7.4393196106,7.57424068451,6.7707195282,6.38531970978,1725.10416534,155.291440582,225.304200096,190.297821522,70.0127592087,172.510416534,15.5291440582,22.5304200096,19.0297821522,7.00127592087,0,0,5.35,0.0523333333333,3,3,3,0,1,79
"101",6604502394,2011,1.35,1713,1,133.44599823,157.867880859,230.971558838,190.455640259,184.588120117,201.450118408,162.41552002,141.044279175,216.639401245,288.383640137,16.2809600449,16.2173999405,15.9601600647,16.3843997574,16.1569999695,15.8085999298,16.4411600494,16.0750002289,16.0032798767,15.5091200256,24.3273600769,23.847559967,23.6703599548,23.557519989,23.7622001648,23.5202798462,24.285240097,24.2133998108,23.1902800751,22.3686398315,20.3041601181,20.0324802399,19.8152604103,19.9709596634,19.9595994949,19.6644392014,20.3632001877,20.144200325,19.596780777,18.9388794899,8.04640007019,7.6301612854,7.71020030975,7.17312049866,7.60519981384,7.71167945862,7.84407997131,8.13839912415,7.18700027466,6.85951900482,1907.26215729,160.837079887,236.742839813,198.789959908,75.9057598114,190.726215729,16.0837079887,23.6742839813,19.8789959908,7.59057598114,99.3447037,17.9703007,5.4,0.038,3,0,3,0,0,82.5
"108",6604500729,2011,1.89,1602,2,136.998200684,168.318599854,238.982199097,196.294639893,192.459119873,216.415880737,176.961160889,142.5974823,228.446118164,304.280838623,16.2723200607,16.2585998535,16.1340401077,16.4801998901,16.209920311,16.0614399719,16.4840799713,16.2266399384,16.1566399765,15.7195999908,24.9804400635,24.6683599091,24.3071600342,24.2833599854,24.3217601013,24.2383200073,24.6670800018,24.8829999542,23.7211198425,23.0130400848,20.6263799667,20.4634799957,20.2206001282,20.3817796707,20.2658405304,20.1498794556,20.5755796432,20.5548200607,19.9388790131,19.3663201332,8.70812034607,8.40975952148,8.17311859131,7.80315971375,8.11183929443,8.17687988281,8.18300056458,8.65635871887,7.56447982788,7.29344081879,2001.75424011,162.003480072,243.083639984,202.543558598,81.08015728,200.175424011,16.2003480072,24.3083639984,20.2543558597,8.108015728,49.2053986,21.3374996,5.4,0.038,3,0,3,0,0,82.5
"111",6604500730,2011,0.95,1661,1,136.998200684,168.318599854,238.982199097,196.294639893,192.459119873,216.415880737,176.961160889,142.5974823,228.446118164,304.280838623,16.2723200607,16.2585998535,16.1340401077,16.4801998901,16.209920311,16.0614399719,16.4840799713,16.2266399384,16.1566399765,15.7195999908,24.9804400635,24.6683599091,24.3071600342,24.2833599854,24.3217601013,24.2383200073,24.6670800018,24.8829999542,23.7211198425,23.0130400848,20.6263799667,20.4634799957,20.2206001282,20.3817796707,20.2658405304,20.1498794556,20.5755796432,20.5548200607,19.9388790131,19.3663201332,8.70812034607,8.40975952148,8.17311859131,7.80315971375,8.11183929443,8.17687988281,8.18300056458,8.65635871887,7.56447982788,7.29344081879,2001.75424011,162.003480072,243.083639984,202.543558598,81.08015728,200.175424011,16.2003480072,24.3083639984,20.2543558597,8.108015728,344.1159973,27.3875008,5.4,0.038,3,0,3,0,0,0
