"","SICA","year","DefectosTotales","ASNM","Luminosidad","prec1","prec2","prec3","prec4","prec5","prec6","prec7","prec8","prec9","prec10","tmin1","tmin2","tmin3","tmin4","tmin5","tmin6","tmin7","tmin8","tmin9","tmin10","tmax1","tmax2","tmax3","tmax4","tmax5","tmax6","tmax7","tmax8","tmax9","tmax10","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","dtr1","dtr2","dtr3","dtr4","dtr5","dtr6","dtr7","dtr8","dtr9","dtr10","PrecTotal","TminTotal","TmaxTotal","TmeanTotal","DtrTotal","PrecTotalAvg","TminTotalAvg","TmaxTotalAvg","TmeanTotalAvg","DtrTotalAvg","OrientationNum","Slope","pH_avg","org_avg","Franco","Arcilloso","Limoso","Cascajoso","PuntajeTotal"
"SICA",1,0.0486647241769271,0.0390548729812834,-0.0215551663495322,0.0315086074406529,-0.284290082880244,-0.261189559307235,-0.16564094102722,0.00265374285876106,-0.00473755863870068,-0.00529491369389621,-0.0725198419873583,-0.0416865430467342,-0.0997956832361869,-0.127631726555499,-0.0186254188724671,0.0832869436510475,0.0970366258170415,0.0675403854260927,0.128164290810329,0.0628810419216095,-0.00209133829586892,0.105466398020018,0.0966427528146301,0.105531215831585,0.0449988496725195,0.194896487806317,0.145938153895818,0.0261253838529916,0.0737247535675594,0.11869814034077,0.154987246950804,0.13410408869571,0.108764123534165,0.074287019715463,0.020228784482936,0.157298758729647,0.129436868933999,0.0452986599371276,0.104191112206663,0.0991906550328913,0.0982959922196355,0.126409549994984,0.109222046876227,0.0890564265058886,0.106965588287745,0.262737358702897,0.167592539390359,-0.0314055468766295,-0.0283837759189772,0.127775977977592,0.278265527505258,0.127405127217249,0.077515924660129,0.0252705215474299,-0.14129716530942,0.076055896808254,0.113894207307956,0.101678789147189,0.123102372484556,-0.141297165309273,0.0760558968085818,0.113894207308107,0.10167878914797,0.123102372484582,-0.0527137024742532,0.0415794160337262,-0.207495497413438,-0.0745686181807728,-0.0626130012239336,0.0497708801914497,0.0708847940804509,-0.0157695507634144,0.0376224332911504
"year",0.0486647241769271,1,-0.720549201885639,0.237889660972038,-0.0556464178803056,0.0433247556042673,0.169901280995899,-0.488261014306018,-0.796610667610066,-0.822000765806693,-0.7882682290678,-0.336357484889049,0.277480445716954,-0.48656400040768,-0.909079780510923,-0.206167323050565,-0.287104760407485,-0.202382023907061,-0.266073857237257,-0.205698023729094,-0.0429853552665786,-0.0136282950031931,0.0633975393722256,0.0693825305159527,0.18139664728041,0.0294370003492832,-0.101639569627765,-0.10993438459272,0.10986442503779,0.360523371474751,0.334897899949342,0.149667526270283,0.106651608958482,0.294105583632603,0.508550804934788,-0.0668590772209273,-0.176799166404748,-0.150055704578621,-0.0446033105280252,0.131033535567476,0.182043401968549,0.0903444853896105,0.0923409998038801,0.217472157194451,0.408566650537256,0.310562504859645,0.132112078183161,0.0479816597107739,0.461881163702252,0.730996913406354,0.648651755968969,0.281459230627646,0.126148033213376,0.40554744856878,0.651944972995997,-0.733564974211544,-0.0996504745820618,0.177236385230677,0.0689678808151576,0.470461381291874,-0.733564974211556,-0.0996504745810477,0.17723638523086,0.0689678808164986,0.470461381291667,-0.0900447648368755,-0.0749692344078689,0.157754257527498,0.000115294027393378,0.194366305943058,-0.111443079517141,0.0727510848171731,0.0436789178325862,0.266464285796953
"DefectosTotales",0.0390548729812834,-0.720549201885639,1,-0.364972678967221,0.11290080160771,0.0252754107797356,-0.042177402405559,0.372731644996827,0.630274562435205,0.63929660423051,0.620194376981072,0.34420295524233,-0.116098251065801,0.394916345823584,0.663966716882008,0.363251188804534,0.418387580336527,0.36384396254173,0.405726872200516,0.355179395112715,0.263450937794017,0.22141570524397,0.151036471746354,0.135481724398271,0.100268547734765,0.193312304963471,0.290305639981118,0.319963116557963,0.181043558066798,-0.0170118883045322,-0.0233435291378546,0.145042696273535,0.161632784513066,0.0360479856340806,-0.12973112024547,0.269917711192205,0.3487712617077,0.345201919207687,0.287279462487015,0.150888984383006,0.102903463229114,0.180069899316628,0.161926437622733,0.0781694127099886,-0.0497591213627677,-0.0902435319648282,0.0662746306901778,0.163818871559203,-0.150352768658082,-0.395471495144853,-0.385721529971999,0.0151779612659218,0.124563008428749,-0.0799118737765235,-0.296035190423189,0.597001629246769,0.29183402379876,0.121895472448729,0.19498205188842,-0.137461178243333,0.59700162924646,0.291834023798116,0.121895472448854,0.194982051887619,-0.137461178243264,0.00510209618504576,-0.0227170323115893,-0.174563136999234,0.00188914270792904,-0.14876136050725,0.0837664773950165,-0.0578452324786918,-0.0151419377686729,-0.174047653425074
"ASNM",-0.0215551663495322,0.237889660972038,-0.364972678967221,1,0.0289283315694605,-0.12829230185242,-0.138374690417667,-0.20323145595201,-0.330423271708734,-0.354027495092211,-0.323095025579283,-0.307893454857646,-0.187633155283316,-0.294315350643079,-0.315669573215998,-0.798361208984646,-0.814607986945937,-0.831763046100766,-0.828379014512144,-0.815330621283475,-0.812088740929904,-0.790646760136518,-0.772163031803709,-0.78712484472062,-0.757010245988708,-0.787322759717742,-0.795224961505835,-0.801042291197464,-0.734994563255955,-0.639277055457306,-0.672554041442896,-0.742461968622388,-0.789166262418157,-0.673662413290923,-0.523673780751453,-0.818111860590345,-0.826465112265681,-0.832061209517031,-0.816365665278149,-0.76887664004043,-0.764311329152232,-0.786604404442959,-0.804492504195065,-0.752988204110834,-0.632651848067543,-0.477179825167426,-0.547646271447563,-0.516775438460681,-0.273647884439366,-0.063163014241411,-0.12809518082973,-0.454001148805864,-0.566071408673238,-0.287656178855003,-0.16655616740254,-0.388312699321677,-0.830235305873124,-0.752482646638372,-0.805968412950351,-0.394032198035565,-0.38831269932164,-0.830235305873059,-0.752482646638058,-0.805968412949327,-0.394032198035819,0.0309885219297695,0.119405026414815,0.118491729297162,0.026529642006887,0.122413941811858,-0.265819667351462,-0.0101847581528275,-0.0492752920887725,0.00639248990581772
"Luminosidad",0.0315086074406529,-0.0556464178803056,0.11290080160771,0.0289283315694605,1,-0.0690707381426449,0.0521849628816919,0.262579594733723,0.202419805380555,0.17020924017207,0.114925246467313,0.0439626078227116,-0.0130484424932311,0.218690618090835,0.142884280252205,0.0690616705431259,0.0547996383021748,-0.00746386168857601,0.0631592261111027,0.0578917308407008,0.0109318614624638,0.0436792026480304,0.0472941570843642,0.0209362977284737,-0.0156436948903969,0.0232359790581106,0.0418983631948837,-0.0360976750872113,-0.0811160350394229,-0.0470368028783305,-0.00375738540351396,0.0153128813443514,-0.0155689876633278,-0.0642351782130249,-0.0752158788874036,0.0429307395696834,0.0481646702934053,-0.0252937263537962,-0.0240327279868095,-0.00297644637629362,0.00259520153776344,0.0270169149803305,0.0091387259250517,-0.0328562061609567,-0.0562706599355067,-0.0423486773333647,0.0157328214884668,-0.0637410084026772,-0.197104171458427,-0.127820147109591,-0.0209389843558623,-0.0206878044383294,-0.0869630293985433,-0.125415815513703,-0.106325710185934,0.190780027108089,0.035466001332035,-0.0262668254524161,-0.00174681309843116,-0.0962019970383848,0.19078002710844,0.0354660013332027,-0.0262668254516952,-0.00174681309775898,-0.0962019970383468,-0.0320752194549276,-0.0731394785714988,0.204849925496332,0.0819406044106244,0.133366164818929,-0.130134670046439,0.150635848395142,-0.0513598251686181,-0.0113775156171132
"prec1",-0.284290082880244,0.0433247556042673,0.0252754107797356,-0.12829230185242,-0.0690707381426449,1,0.402579332298056,0.041634580856544,-0.217258867860625,0.0324455718058949,0.296175850507417,0.57475342516642,0.214550200311098,0.0743196528681136,-0.00334333625762554,0.235359286948101,0.11023059502885,0.223027352332079,0.122478864249928,0.182924511326545,0.300466941220287,0.259202830678802,0.108765254076886,0.216035552152926,0.219114145752485,0.093217094096762,-0.040191045614761,0.241784399025327,0.407559918688407,0.197322245766711,0.141331416063174,0.1782050871333,0.167609311925543,0.234418223354463,0.226042001435482,0.15501077835474,0.0171123317271334,0.239753573966923,0.308715033411091,0.206072239072217,0.21822599392972,0.216178875419617,0.148772120141158,0.238546193531469,0.233072560156098,-0.118174789160303,-0.194899343765272,0.193755744114541,0.515455831591628,0.0913204621160487,-0.142795071334033,0.0327415463894053,0.187179149672523,0.159165934323758,0.167185575088863,0.23775988335777,0.205480443387852,0.194904441729594,0.20484255326634,0.114294489788337,0.237759883357653,0.205480443388542,0.194904441729453,0.204842553266158,0.114294489788426,-0.0876781267180721,-0.112763232854413,0.190070874043472,-0.116545761933094,0.148517184631504,-0.0548552265130932,0.106923888025535,-0.0992845539419344,0.0147834006381473
"prec2",-0.261189559307235,0.169901280995899,-0.042177402405559,-0.138374690417667,0.0521849628816919,0.402579332298056,1,0.543016622172224,-0.148835551315046,-0.248815513262126,-0.0756681252484132,0.54504175614085,0.777577752274707,0.587508014588679,-0.0100063450132123,0.242655000531377,0.211497407806112,0.206586965522325,0.251541170272793,0.156171551784635,0.337095628843103,0.35882752553509,0.311238164773306,0.291581410639095,0.360298806278065,0.375760134121716,0.0626375988312319,0.0179419238074335,0.307329521402112,0.426016465157176,0.340023088546879,0.308948409502894,0.244035150943075,0.195486660527822,0.262221608142895,0.333322688813707,0.122398371425152,0.0950372779263388,0.300823694299236,0.336353369059589,0.353805187211989,0.33907881743504,0.277757725595628,0.244133407226736,0.309817228100736,0.399358694075735,-0.119591184975325,-0.241721558690286,0.216818403538718,0.446635910709305,0.160815445238039,0.156168033877943,0.0872107414619994,0.0189897289456978,0.100009547211248,0.388803367170882,0.279876808684802,0.263140528382687,0.277564219502408,0.151165003181061,0.388803367171016,0.279876808685979,0.26314052838222,0.277564219502926,0.151165003181177,0.0594024753125621,-0.028668652266735,0.209624531465682,-0.0703341050910738,0.154381860358833,-0.142679380738362,0.0873217141746772,-0.0929667175126556,0.103629999885597
"prec3",-0.16564094102722,-0.488261014306018,0.372731644996827,-0.20323145595201,0.262579594733723,0.041634580856544,0.543016622172224,1,0.588072594194893,0.473489752934879,0.420151718057754,0.495472632929979,0.31509465199019,0.934926327535536,0.696842274864274,0.349111715608915,0.318850643695925,0.249919222702064,0.340334514369927,0.249501070685507,0.226804163328157,0.265462905902036,0.203602797998552,0.186839414916806,0.107622764504985,0.29767929593099,0.166616918356421,0.0377700485303682,0.0167310312236811,0.0205866835885635,0.0634402248009539,0.151798663125423,0.0976001369466194,-0.11018417361241,-0.201976324641703,0.328832718633098,0.230788955040778,0.124878055554964,0.15597362620925,0.12626020296205,0.138756645656345,0.201759410242756,0.142736121308185,0.00487119828769149,-0.0954893098117658,0.121804147241395,-0.0489111255346595,-0.259579964639136,-0.340874735791878,-0.231230156124463,-0.184285480847916,-0.0211503726934551,-0.0610354415347132,-0.369195382375677,-0.417973028149798,0.860112022191601,0.259627135499417,0.0527397541368079,0.138964787016871,-0.230084713047245,0.860112022191639,0.259627135499997,0.0527397541362034,0.138964787016543,-0.230084713047182,0.070177939323085,0.0390709719185373,0.108575531986514,0.0647108746428746,0.0335222692308216,-0.113663534877243,0.0830911346358594,-0.0973004399936518,-0.0628166147792315
"prec4",0.00265374285876106,-0.796610667610066,0.630274562435205,-0.330423271708734,0.202419805380555,-0.217258867860625,-0.148835551315046,0.588072594194893,1,0.872733620893982,0.73604246270043,0.285993913080077,-0.177023108723696,0.552957264036687,0.846133466165131,0.338057427967181,0.426680191494245,0.333482467733637,0.380796665357337,0.37732848515457,0.208841923219299,0.162500738420662,0.172785139304445,0.107923536935394,0.010248871737464,0.197039737010249,0.35436640080494,0.282501435508182,0.0301849323696191,-0.121306672631764,-0.0418284003971482,0.0868370720932186,0.11498065364515,-0.0405598313822271,-0.245646676360634,0.261828305840011,0.393052267762847,0.309759630199923,0.1817290466867,0.0959981754889974,0.0675664356421998,0.119613553858283,0.141325482457076,0.017674576906597,-0.160975590967451,-0.0520499984035899,0.173711115912068,0.128146731104609,-0.363181187909433,-0.567906138700141,-0.347028699138264,-0.0237821968714525,0.00940308915761043,-0.175864794804535,-0.401547716817656,0.768425384420013,0.265319110200915,0.0646744436338045,0.14868687780568,-0.214271180012419,0.768425384419864,0.265319110200375,0.0646744436338416,0.148686877804675,-0.214271180012348,0.0412496438838495,0.0355012488638554,-0.00229687712748955,0.0901228447955751,-0.0275908018976606,-0.0146665385894937,0.0597063185866899,-0.0605273267025461,-0.278980149952259
"prec5",-0.00473755863870068,-0.822000765806693,0.63929660423051,-0.354027495092211,0.17020924017207,0.0324455718058949,-0.248815513262126,0.473489752934879,0.872733620893982,1,0.898719482734888,0.355465339810701,-0.370329546459198,0.466061096501871,0.867105125292039,0.397535726111879,0.402488633040886,0.359156818029872,0.396824986285043,0.394915125733684,0.240278782984663,0.205379943902743,0.139344581000883,0.138412682473271,0.0185783717047641,0.156400694530064,0.322469647447379,0.355185421746607,0.105029544566633,-0.17554334965999,-0.10659921973879,0.0935195649429844,0.138047113917094,-0.0355402355517654,-0.253214375650849,0.261171933814037,0.363201494323037,0.365016687538955,0.235659278540453,0.0702121766404614,0.0426207347623549,0.140795506887431,0.142436770090724,0.0332751444132683,-0.162956310578384,-0.201558158588502,0.142375815485398,0.242145352720652,-0.26154344762718,-0.663918560222289,-0.50271149402048,-0.058958931980854,0.0938434740973787,-0.198857769399121,-0.421012372933769,0.760784874265892,0.283719285893088,0.063731516090015,0.155636620974361,-0.239635418668748,0.760784874265867,0.283719285892302,0.0637315160897589,0.155636620973117,-0.239635418668578,-0.00982530296324442,-0.0220538254321065,-0.00838865500968305,0.0748898600866885,-0.0512447644307961,0.0692892767890479,0.0623590948512181,-0.0420717956846552,-0.218587117775345
