"var","max","min","Q1","Q3","mad","med","sd","cv"
"SICA",6668701801,6600100220,6608801703,6659402483,6644000269,6637769049.211,24616128.114,0.371
"year",2016,2011,2011,2016,2016,2013.595,2.505,0.124
"DefectosTotales",7.55,0.005,0.076,1.55,0.267,0.975,1.26,129.251
"ASNM",2001,1047,1536,1744,1637,1619.178,174.143,10.755
"Luminosidad",2,0,1,2,2,1.724,0.494,28.661
"prec1",216.354,80.147,116.051,152.289,127.47,133.374,28.705,21.523
"prec2",267.301,69.477,138.463,198.023,175.364,169.212,42.309,25.004
"prec3",287.625,76.111,147.127,238.982,203.14,192.137,57.254,29.798
"prec4",287.904,71.495,112.59,201.148,172.114,159.401,54.165,33.981
"prec5",269.938,64.07,92.154,191.537,154.666,144.497,55.358,38.311
"prec6",269.247,68.771,101.306,193.308,146.679,148.859,52.256,35.104
"prec7",276.829,81.659,127.492,179.658,149.311,152.864,35.222,23.041
"prec8",268.324,68.585,133.329,169.357,149.006,153.551,37.08,24.149
"prec9",290.967,62.375,138.805,225.041,174.225,176.901,58.032,32.805
"prec10",340.804,68.347,91.725,275.145,151.496,180.104,94.198,52.302
"tmin1",20.039,13.767,15.73,16.822,16.245,16.251,0.979,6.027
"tmin2",19.96,12.944,15.749,16.807,16.259,16.296,0.985,6.047
"tmin3",21.291,13.323,15.72,16.829,16.18,16.28,1.092,6.709
"tmin4",20.133,13.023,15.808,16.923,16.322,16.386,1.043,6.368
"tmin5",20.193,12.944,15.562,16.869,16.221,16.252,1.095,6.737
"tmin6",20.113,13.476,15.444,16.877,16.19,16.211,1.082,6.674
"tmin7",19.516,14.019,15.735,16.848,16.4,16.346,0.932,5.702
"tmin8",20.571,13.761,15.642,16.908,16.283,16.302,0.931,5.708
"tmin9",21.019,13.574,15.598,16.826,16.239,16.239,0.972,5.985
"tmin10",19.728,14.019,15.593,16.828,16.252,16.257,0.953,5.862
"tmax1",30.505,22.367,24.98,26.721,25.796,25.847,1.472,5.695
"tmax2",30.43,21.516,24.657,26.681,25.639,25.611,1.624,6.341
"tmax3",31.248,21.396,24.252,26.373,25.256,25.278,1.657,6.556
