"","errors","errors","errors"
"SICA",2.78488722633571e-06,4.53154578709595e-05,5.84483796997637e-07
"DefectosTotales",0.863395157978896,6.76795224395424,6.66373364306715
"ASNM",0.000168114954475804,0.000318097587202059,0.000102151221560444
"Luminosidad",0.00459383307201915,0.000323930065773413,3.27562479886422e-06
"prec1",0.000134947063151871,0,0
"prec2",0.0253116441532226,0.000498562511909002,0.00591821767238391
"prec3",0.000510557343575136,0.00746777866554824,0.00565522411297055
"prec4",0.0594604917511472,0.0235995631300709,0.00396792617406691
"prec7",0.0142277699350925,0.000995078554663877,4.42452609593517e-05
"dtr3",0.0399563744117788,0.0335848414002032,0.0142089081170842
"OrientationNum",0.00394400556255602,0.0229819847614788,1.01838886608013e-05
"Slope",1.71760437956245e-05,0.00042460553407365,5.00147205217832e-05
"pH_avg",0.0256277899267921,0.0111110204587766,0.00531223201342332
"org_avg",0,3.16442373236529e-07,8.67296619203115e-06
"Franco",0.263705699827382,0.0574157617472769,0.171323735581928
"Arcilloso",1.37147628029987e-05,1.1318412536932e-06,7.10081732934016e-07
"Arenoso",0.167244160086769,0.0157289872054813,0.00388939245696085
"Cascajoso",7.76263417806885e-05,6.27797055408154e-06,0.00037952903945537
