"ID","SICA","year","DefectosTotales","ASNM","Luminosidad","prec1","prec2","prec3","prec4","prec5","prec6","prec7","prec8","prec9","prec10","tmin1","tmin2","tmin3","tmin4","tmin5","tmin6","tmin7","tmin8","tmin9","tmin10","tmax1","tmax2","tmax3","tmax4","tmax5","tmax6","tmax7","tmax8","tmax9","tmax10","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","dtr1","dtr2","dtr3","dtr4","dtr5","dtr6","dtr7","dtr8","dtr9","dtr10","PrecTotal","TminTotal","TmaxTotal","TmeanTotal","DtrTotal","PrecTotalAvg","TminTotalAvg","TmaxTotalAvg","TmeanTotalAvg","DtrTotalAvg","OrientationNum","Slope","pH_avg","org_avg","Franco","Arcilloso","Limoso","Arenoso","Cascajoso","PuntajeTotal"
"14",6638301425,2011,1.9,1324,2,144.44815979,202.972918091,254.598761597,195.472720337,199.941240234,231.989799805,186.179960937,130.121799622,268.916758423,325.162159424,16.8387599182,16.7567200851,16.8012399673,17.0238399506,16.8033599854,16.6632398224,16.7887599182,16.6156401062,16.4952398682,16.3378400421,26.0359199524,25.7887599182,25.5850800323,25.7989600372,25.5667601013,25.4867599487,25.9696000671,26.1844801331,25.0079199219,24.5026800537,21.4373397827,21.2727394104,21.1931600571,21.4113998413,21.1850605011,21.0749998093,21.3791799545,21.4000606537,20.7515792847,20.4202594757,9.19715881348,9.03203964233,8.78383827209,8.77511978149,8.76340103149,8.82351875305,9.18084144592,9.56884002686,8.51268005371,8.16484069824,2139.80427826,167.124639664,255.926920166,211.52577877,88.8022785187,213.980427826,16.7124639664,25.5926920166,21.152577877,8.88022785187,36.8698997,6.92945,5.35,0.0523333333333,3,3,3,0,1,75.25
"17",6607500645,2011,2.67,1453,2,141.16027832,204.648800049,251.479118652,181.970161133,188.333679199,191.087678833,167.339960937,113.940280151,268.126601563,315.881437988,17.2670800781,17.1231600952,17.2153999329,17.3658799744,17.1271199799,16.8931599426,16.9086800385,16.7664402008,16.717559967,16.7232801819,27.0242001343,26.7599198914,26.5925200653,26.8772401428,26.4929199982,26.3921200562,26.9741601563,27.159960022,26.1507601929,25.810599823,22.1456403732,21.9415397644,21.903960228,22.1215591431,21.8100194931,21.6426401138,21.9414196014,21.9631996155,21.4341602325,21.2669401169,9.75712013245,9.63676071167,9.37711906433,9.51136016846,9.36580085754,9.498960495,10.0654792786,10.3935203552,9.43320083618,9.08732032776,2023.96799683,170.107760391,266.234400482,218.171078682,96.1266422272,202.396799683,17.0107760391,26.6234400482,21.8171078682,9.61266422272,114.1709976,29.4204006,5.4,0.038,3,0,3,0,0,75.25
"22",6638300700,2011,1.7,1600,2,143.963718262,191.722720337,250.860841675,196.022559814,197.738000488,230.970559082,181.396959229,133.329639893,258.70144165,320.493758545,16.5291199875,16.4841201401,16.4244000626,16.7288400269,16.5443197632,16.345719986,16.6369199753,16.4240399551,16.278400116,15.9414799881,24.9661999512,24.6063999176,24.5162400818,24.6134400177,24.6079199982,24.4557598877,25.0483200073,25.1567599487,23.866319809,23.169960022,20.7476596832,20.5452594757,20.4703197479,20.6711397171,20.5761194229,20.4007396698,20.8426208496,20.7903995514,20.0723600388,19.5557198524,8.4370803833,8.12228012085,8.09183883667,7.88459968567,8.06360054016,8.11003875732,8.41139984131,8.73271942139,7.58791923523,7.22848033905,2105.20019897,164.337360001,245.007319641,204.672338009,80.6699571609,210.520019897,16.4337360001,24.5007319641,20.4672338009,8.06699571609,154.8549957,23.6809998,5.35,0.0523333333333,3,3,3,0,1,82.5
"23",6638300915,2011,1.7,1606,2,141.698200684,201.304160156,250.962561646,189.645958862,194.490841064,222.613560181,177.963360596,124.202559814,266.327317505,321.653638916,16.7929198456,16.7149598694,16.769280014,16.9818400574,16.7573999023,16.6111198425,16.7286799622,16.5591201782,16.4495599747,16.3129201126,25.8816001129,25.6156398773,25.4614400482,25.7039601135,25.4995999146,25.4104797363,25.9012802124,26.1206800079,24.8823200989,24.372480011,21.3372592926,21.1653003693,21.1153593063,21.3429002762,21.1284999847,21.0108003616,21.3149795532,21.3399000168,20.6659402847,20.3427000046,9.08868026733,8.90068054199,8.69215965271,8.72212028503,8.74219894409,8.79936027527,9.17259979248,9.56155967712,8.43276023865,8.05956077576,2090.86215942,166.677799759,254.849480133,210.76363945,88.1716804504,209.086215942,16.6677799759,25.4849480133,21.076363945,8.81716804504,359.6130066,50.1749001,5.35,0.0523333333333,3,3,3,0,1,0
"24",6638300093,2011,3.24,1653,2,140.308439026,183.309920654,242.967958984,190.463999023,191.481878662,223.655800171,174.081279907,134.068479919,247.88843811,311.851040039,16.3790799713,16.3503198242,16.2407200623,16.6110400772,16.4380800247,16.203400116,16.6259598923,16.3550000763,16.2007600403,15.7688399124,24.3771598053,23.9431600952,23.9318001556,23.9513998413,24.0902800751,23.8746400452,24.5763600159,24.602480011,23.2720400238,22.4667199707,20.3781194687,20.1467399597,20.0862607956,20.2812204361,20.2641801834,20.0390195847,20.6011600494,20.4787397385,19.7363996506,19.1177802086,7.99807929993,7.59284210205,7.69108009338,7.34036064148,7.65220069885,7.67123985291,7.95040130615,8.24748039246,7.07127952576,6.69788074493,2040.07723449,163.173199997,239.086040039,201.129620075,75.9128446579,204.007723449,16.3173199997,23.9086040039,20.1129620075,7.59128446579,264.0939941,25.2880001,5.35,0.0523333333333,3,3,3,0,1,0
"25",6638301152,2011,2.16,1399,2,141.416880493,199.047758179,249.280198975,191.073200073,195.101638184,230.052440186,180.25552002,128.021799011,263.289078979,321.307001953,16.6635199356,16.6111600876,16.650719986,16.8976000214,16.677759819,16.559200058,16.7257998276,16.5372000504,16.4119598389,16.2133199692,25.5735600281,25.3106799316,25.1454399872,25.3538400269,25.2075198364,25.1168397522,25.5969999695,25.8202398682,24.5310401917,23.9653202057,21.1185407639,20.9609203339,20.8980798721,21.1257200241,20.9426393509,20.8380203247,21.1613998413,21.1787204742,20.4715003967,20.0893201828,8.91003990173,8.69952011108,8.49471855164,8.45623970032,8.52976036072,8.55764007568,8.87120056152,9.28303909302,8.11907958984,7.75200080872,2098.84551605,165.948239594,251.621479797,208.784861565,85.6732387543,209.884551605,16.5948239594,25.1621479797,20.8784861565,8.56732387543,0,0,5.41666666667,0.0498333333333,3,0,3,2,0,0
"28",6638300302,2011,2.73,1547,1,140.854279785,191.448198853,245.908480225,192.148520508,194.059281006,232.429439087,179.370680542,132.855679321,255.170960083,317.998997803,16.4201600266,16.4038001633,16.3787200165,16.7001599503,16.4956399536,16.3674799728,16.6634799957,16.4370000076,16.29060009,15.9495601273,24.8779599762,24.5676799011,24.4237600708,24.5441601563,24.5452400208,24.4246398926,24.9385599518,25.1263199615,23.7604399109,23.0700801086,20.6490602493,20.4857406616,20.4012393951,20.6221599579,20.5204401016,20.3960599899,20.8010206223,20.78166008,20.0255203247,19.5098199844,8.4577999115,8.16387939453,8.04504013062,7.84400177002,8.0496006012,8.05716133118,8.27507972717,8.6893196106,7.46984100342,7.12051963806,2082.24451721,164.106600304,244.278839951,204.192721367,80.1722431183,208.224451721,16.4106600304,24.4278839951,20.4192721367,8.01722431183,249.1459961,20.0093002,5.35,0.0523333333333,3,3,3,0,1,78
"29",6638300328,2011,2.87,1597,2,140.208560791,199.482519531,246.666680908,191.281039429,195.3924823,237.285559692,184.187800903,132.135279236,260.642799072,319.649520264,16.7156000519,16.6775198746,16.7498400116,17.0015198517,16.7702402496,16.7132800293,16.8676800537,16.6587198639,16.5349599457,16.3472798538,25.8051998901,25.6041999054,25.3811599731,25.5721599579,25.386000061,25.3038000488,25.775719986,26.0121599579,24.7639601898,24.2136800385,21.2604007721,21.1408605576,21.0655002594,21.2868404388,21.0781202316,21.0085401535,21.3217000961,21.335439682,20.6494598389,20.2804803848,9.08959960938,8.92667961121,8.63132095337,8.57064056396,8.61575889587,8.59052085876,8.90804100037,9.35343933105,8.22900009155,7.86639976501,2106.93224213,167.036639786,253.818040009,210.427342415,86.7814006805,210.693224213,16.7036639786,25.3818040009,21.0427342415,8.67814006805,237.6529999,16.0515003,5.35,0.0523333333333,3,3,3,0,1,76.5
"31",6638300310,2011,1,1626,2,140.885198975,194.018880005,246.618440552,192.357640991,194.735478516,234.521281128,181.015440674,132.493120422,257.320961914,319.316563721,16.4719599533,16.4531600189,16.4561200714,16.7584399414,16.5445600891,16.443079834,16.6961600494,16.4801599884,16.3387599564,16.037279892,25.1042800903,24.8306800842,24.6525997925,24.8016397858,24.7503999329,24.6513599396,25.1279201508,25.349280014,23.9975199127,23.3490399933,20.7881202698,20.6419200897,20.554359436,20.7800397873,20.647480011,20.5472192764,20.9120397568,20.9147195816,20.1681404114,19.6931591034,8.63232040405,8.37752151489,8.19647979736,8.04319953918,8.20584106445,8.20828056335,8.43176078796,8.86911964417,7.6587600708,7.31175994873,2093.2830069,164.679679794,246.614719696,205.647197723,81.9350433349,209.32830069,16.4679679794,24.6614719696,20.5647197723,8.19350433349,68.0513,30.3395004,5.35,0.0523333333333,3,3,3,0,1,0
"32",6638300311,2011,5.97,1666,2,139.272078857,177.08328064,239.53499939,186.064598999,188.187839966,212.0340802,167.208040771,132.335721436,242.727159424,304.394919434,16.3843201447,16.3203998947,16.1394798279,16.5467598343,16.4047198868,16.0465999985,16.5634799194,16.2496397781,16.0916399384,15.6227598953,23.9593198395,23.3885999298,23.5425600433,23.5059200287,23.7559600067,23.4309200287,24.3629599762,24.1938399506,22.9233200836,22.0327998352,20.1718196869,19.8544998169,19.8410205841,20.0263404846,20.0803403854,19.7387599945,20.4632205963,20.221739769,19.5074806213,18.8277802467,7.57500076294,7.06819915771,7.40307998657,6.95915985107,7.35124015808,7.38431930542,7.79948043823,7.94420051575,6.83168029785,6.41004085541,1988.84271912,162.369799118,235.096199722,198.733002186,72.726401329,198.884271912,16.2369799118,23.5096199722,19.8733002186,7.2726401329,316.5480042,11.9727001,5.35,0.0523333333333,3,3,3,0,1,0
