"ID","SICA","year","DefectosTotales","ASNM","Luminosidad","prec1","prec2","prec3","prec4","prec5","prec6","prec7","prec8","prec9","prec10","tmin1","tmin2","tmin3","tmin4","tmin5","tmin6","tmin7","tmin8","tmin9","tmin10","tmax1","tmax2","tmax3","tmax4","tmax5","tmax6","tmax7","tmax8","tmax9","tmax10","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","dtr1","dtr2","dtr3","dtr4","dtr5","dtr6","dtr7","dtr8","dtr9","dtr10","PrecTotal","TminTotal","TmaxTotal","TmeanTotal","DtrTotal","PrecTotalAvg","TminTotalAvg","TmaxTotalAvg","TmeanTotalAvg","DtrTotalAvg","OrientationNum","Slope","pH_avg","org_avg","Franco","Arcilloso","Limoso","Arenoso","Cascajoso","PuntajeTotal"
"0",6607500996,2011,3.27,1536,2,145.655600586,205.83947998,257.519198608,195.011119995,200.143319702,222.754401245,184.180201416,126.713680725,272.88960083,325.935480957,16.9713198853,16.8635599518,16.9115599823,17.1102800751,16.8858000183,16.7090798187,16.7921199036,16.6404399872,16.531519928,16.4264400101,26.3422400665,26.088079834,25.8857202148,26.130120163,25.8400799561,25.765880127,26.2589198303,26.4700001526,25.352720108,24.9090400696,21.6567792892,21.4758195877,21.398639679,21.6202001572,21.3629398346,21.2374801636,21.5255203247,21.5552196503,20.9421205521,20.6677398682,9.37092018127,9.22451972961,8.97415924072,9.01983833313,8.95428085327,9.05680084229,9.4668006897,9.82955932617,8.82119941711,8.48260116577,2136.64208404,167.84211956,259.042800522,213.442459107,91.200679779,213.664208404,16.784211956,25.9042800522,21.3442459107,9.1200679779,114.7490005,32.1693993,5.625,0.02175,3,3,3,0,0,82
"1",6607500981,2011,3.37,1650,2,147.673640137,193.916400146,257.884317627,197.673759155,200.862362671,217.88000061,177.609678955,128.226519775,265.137279053,321.793997803,16.6501200485,16.5601997757,16.463239975,16.7308800888,16.5686401367,16.2636001205,16.494240036,16.322720108,16.1865999985,15.9018400955,24.9929201508,24.5611601257,24.5759198761,24.7113600922,24.6846799469,24.4925200653,25.1941999817,25.20147995,23.9572399139,23.2848001099,20.8215198517,20.5606803894,20.5195798874,20.7211208344,20.6266593933,20.3780593872,20.8442201614,20.7621002197,20.0719194412,19.5933198929,8.34280014038,8.00096130371,8.11268043518,7.98048019409,8.11603927612,8.22891998291,8.69996070862,8.8787612915,7.77063941956,7.38295936584,2108.65795593,164.142080383,245.656280213,204.899179459,81.5142021179,210.865795593,16.4142080383,24.5656280212,20.4899179459,8.15142021179,139.4850006,16.3351994,5.625,0.02175,3,3,3,0,0,79
"2",6607501034,2011,2.49,1444,1,138.982078857,205.851759033,242.809320068,178.794560547,189.439718628,201.342642212,173.090200806,121.329240112,260.522919312,305.449320068,17.8764400482,17.67647995,17.8228400421,17.9704399109,17.7602001953,17.5192002869,17.5468401337,17.3014002991,17.2743200684,17.3495999908,27.9810800934,27.6894799805,27.6070799255,27.7697200775,27.3013600922,27.0810402679,27.9397599792,27.9527598572,27.2249999237,26.8625598145,22.9287605286,22.6829795837,22.7149600983,22.8700799942,22.5307798386,22.3001194,22.7433004379,22.6270809174,22.2496604919,22.1060800552,10.1046409607,10.0130004883,9.78424072266,9.79928016663,9.54115867615,9.56184005737,10.3929195404,10.6513595581,9.95067977905,9.51296043396,2017.61175964,176.097760925,275.409840012,225.753801346,99.3120803833,201.761175964,17.6097760925,27.5409840012,22.5753801346,9.93120803833,290.7260132,32.6622009,5.35,0.0523333333333,3,3,3,0,1,78.5
"4",6607500108,2011,5.96,1354,2,135.70236084,196.86907959,225.34447937,170.141558838,185.258480225,178.752480469,160.563280029,121.434240112,236.598439331,274.21776001,19.0402800751,18.7504399872,18.9096398926,19.0809199524,18.9220398712,18.578480072,18.5781598663,18.2229601288,18.2856400299,18.4649597931,29.7095199585,29.301680069,29.4794799805,29.3962799835,28.8158402252,28.322880249,29.7891598511,29.4564400482,29.2105602264,28.7906400299,24.3748998642,24.0260601044,24.194560051,24.2385997772,23.8689393997,23.4506797791,24.1836595535,23.8396997452,23.7481002808,23.6277999878,10.6692409515,10.5512390137,10.5698413849,10.3153610229,9.89380073547,9.74440002441,11.2110004425,11.2334804535,10.9249191284,10.3256797791,1884.88215881,186.833519669,292.272480621,239.552998543,105.438962936,188.488215881,18.6833519669,29.2272480621,23.9552998543,10.5438962936,178.3630066,29.5702991,5.35,0.0523333333333,3,3,3,0,1,75.5
"5",6607500309,2011,2.6,1568,2,146.721480103,200.230720215,258.594281616,196.977960205,200.468881226,221.469279175,180.504158936,126.448520203,270.146396484,326.091561279,16.7254000092,16.6416800308,16.6197201157,16.850559845,16.6494800949,16.4312400818,16.5771601105,16.4313999557,16.3054800797,16.1049998474,25.5613998413,25.2362800598,25.1256400299,25.3364398956,25.1851202393,25.0737602234,25.6139202118,25.7676400757,24.531599884,23.9744800568,21.1434001923,20.9389801025,20.8726806641,21.0934991837,20.9173002243,20.7525005341,21.0955400467,21.0995197296,20.4185400009,20.0397396088,8.83599853516,8.59460067749,8.50592041016,8.48587989807,8.5356388092,8.64252090454,9.0367603302,9.33623886108,8.22611808777,7.86948013306,2127.65323944,165.337120171,251.406280518,208.371700287,86.0691566467,212.765323944,16.5337120171,25.1406280518,20.8371700287,8.60691566467,94.4972,19.8834,5.4,0.038,3,0,3,0,0,81
"6",6607500014,2011,2.78,1505,2,146.140280151,203.069520264,257.035401001,199.094400024,202.996000977,235.45867981,189.82460022,132.809239197,270.253398437,327.200838623,16.835439949,16.751599884,16.7813198853,17.0105599213,16.7933198547,16.6480401611,16.7806000519,16.6111998367,16.4838798523,16.3094400024,26.0416799927,25.7929600525,25.5724798584,25.7734798431,25.5385601044,25.4636399841,25.941760025,26.1503199768,24.995,24.4838402557,21.4385595322,21.2722797394,21.17689991,21.3920192719,21.1659402847,21.0558404922,21.3611793518,21.3807601929,20.7394399643,20.3966407776,9.20623970032,9.04135894775,8.79115867615,8.76292037964,8.74524116516,8.81559944153,9.16115951538,9.53911972046,8.51112174988,8.17440032959,2163.8823587,167.005399399,255.753720093,211.379559517,88.7483196259,216.38823587,16.7005399399,25.5753720093,21.1379559517,8.87483196259,11.7683001,30.7903996,5.4,0.038,3,0,3,0,0,76.375
"7",6607500148,2011,2.67,1318,2,141.535239868,208.818560791,242.029041138,182.528279419,195.608999023,201.077200317,177.365961304,125.745359802,259.044360962,300.536998291,18.1914801025,17.9293999481,18.0744799042,18.241319809,18.0602000427,17.7446799469,17.808039856,17.5152799988,17.4955202484,17.589200058,28.5382800293,28.2012000275,28.0940401459,28.2211997986,27.6799598694,27.4395201874,28.3690398407,28.3492800903,27.7798001099,27.4487599945,23.3648805618,23.0652999878,23.0842599869,23.231259346,22.8700799942,22.5921001434,23.0885400772,22.9322795868,22.6376600266,22.5189800262,10.3467998505,10.2718009949,10.0195598602,9.97987937927,9.61976051331,9.69483947754,10.5609989166,10.8339996338,10.284280777,9.85955810547,2034.29000091,178.649599915,280.121080094,229.385339737,101.471477509,203.429000091,17.8649599915,28.0121080094,22.9385339737,10.1471477509,37.5041008,23.7098007,5.625,0.02175,3,3,3,0,0,74.75
"8",6607500516,2011,1.3,1552,2,143.263719482,205.893320313,254.750961304,187.448800659,193.410159302,203.332359619,174.027518921,118.543120422,271.275041504,320.803880615,17.131720047,17.0019600677,17.0753199768,17.2421200562,17.0069200134,16.7951600647,16.8315200043,16.691720047,16.6168000793,16.5836399841,26.7220799255,26.4634398651,26.2810800934,26.5606800079,26.2131198883,26.1292401123,26.6608000946,26.8661598206,25.8018400574,25.4280399323,21.92689991,21.7327003479,21.6781997681,21.9014005661,21.6100196838,21.4622001648,21.7461605072,21.7789402008,21.2093200684,21.0058393478,9.59036064148,9.46147918701,9.20576095581,9.31855964661,9.206199646,9.33407974243,9.82928085327,10.1744384766,9.18503952026,8.84440040588,2072.74888214,168.97688034,263.126479797,216.051680565,94.1495990754,207.274888214,16.897688034,26.3126479797,21.6051680565,9.41495990754,93.9451981,13.2531004,5.4,0.038,3,0,3,0,0,79
"9",6607501187,2011,1.55,1454,2,146.046480713,204.142080688,258.39184082,195.522799072,199.892919312,220.659438477,182.003240967,125.532680664,272.582480469,326.505400391,16.8688399124,16.7717599106,16.7963999557,17.0022799683,16.7820400238,16.5929598618,16.6876799774,16.546680069,16.4335599136,16.3010801315,26.0649199677,25.79147995,25.6171998596,25.8617601013,25.6161999512,25.5360402679,26.029960022,26.2335597992,25.0630401611,24.5890801239,21.4668798447,21.281619072,21.2067995071,21.4320192337,21.1991195679,21.064499855,21.3588199615,21.3901205063,20.7482995987,20.4450807571,9.1960811615,9.01972007751,8.8207988739,8.85947990417,8.83415985107,8.94307899475,9.34228134155,9.68688011169,8.62948036194,8.28800010681,2131.27936157,166.783279724,256.403240204,211.593257904,89.6199607849,213.127936157,16.6783279724,25.6403240204,21.1593257904,8.96199607849,183.6009979,30.1334991,5.625,0.02175,3,3,3,0,0,79
"11",6607500533,2011,1.64,1360,1,143.792721558,211.221678467,249.640199585,188.628278809,199.640800781,214.314160156,184.835442505,128.507240601,267.984959717,312.807320557,17.770759964,17.552480011,17.6803600311,17.8480799103,17.644200058,17.3916400146,17.4530001068,17.2098399353,17.1496401215,17.1929999542,27.8745198822,27.5927201843,27.3984799194,27.5923200989,27.1005599213,26.9515598297,27.6704000854,27.7627200317,27.01647995,26.6841599274,22.8226394653,22.5726003647,22.5394201279,22.720199585,22.372379303,22.1715993881,22.5617008209,22.4862804413,22.0830602646,21.938580513,10.1037597656,10.0402393341,9.7181186676,9.74423980713,9.45635986328,9.5599193573,10.2173995972,10.5528793335,9.8668384552,9.49115943909,2101.37280274,174.893000107,273.64391983,224.268460274,98.75091362,210.137280274,17.4893000107,27.364391983,22.4268460274,9.875091362,70.8209991,21.5345993,5.625,0.02175,3,3,3,0,0,76
