"var","max","min","Q1","Q3","mad","med","sd","cv"
"SICA",6668701637,6600100168,6607500288,6659402514,6638301460,6632344058.664,25732568.236,0.388
"year",2016,2011,2011,2016,2011,2013.442,2.505,0.124
"DefectosTotales",7.84,0.01,0.108,1.89,0.49,1.265,1.571,124.212
"ASNM",1957,1178,1452,1637,1533,1544.005,149.512,9.683
"Luminosidad",2,0,2,2,2,1.82,0.419,23.04
"prec1",218.641,67.016,120.699,157.247,135.205,135.721,27.162,20.013
"prec2",266.398,65.774,133.765,209.139,187.471,175.941,52.702,29.954
"prec3",287.253,71.842,152.585,248.89,213.577,199.374,60.638,30.414
"prec4",288.317,69.792,119.573,226.099,180.195,173.224,57.622,33.264
"prec5",271.007,65.774,98.114,200.925,182.431,159.765,57.656,36.088
"prec6",283.171,69.926,113.054,215.529,171.687,166.201,57.406,34.54
"prec7",243.27,72.706,125.216,194.731,173.238,162.718,44.232,27.183
"prec8",271.007,67.11,129.114,183.086,149.325,157.605,48.992,31.085
"prec9",294.56,59.061,142.295,250.778,181.891,190.292,67.674,35.563
"prec10",340.853,62.704,101.905,304.522,187.997,196.657,99.68,50.687
"tmin1",19.796,13.865,16.211,17.191,16.739,16.645,0.863,5.188
"tmin2",19.535,14.065,16.276,17.189,16.811,16.7,0.818,4.896
"tmin3",19.736,13.8,16.226,17.185,16.796,16.667,0.877,5.261
"tmin4",19.834,14.236,16.362,17.302,16.941,16.818,0.858,5.099
"tmin5",19.681,13.715,16.315,17.282,16.886,16.743,0.886,5.29
"tmin6",19.449,13.945,16.121,17.315,16.806,16.67,0.894,5.362
"tmin7",19.253,14.325,16.289,17.278,16.832,16.735,0.831,4.964
"tmin8",18.894,14.441,16.275,17.216,16.743,16.678,0.76,4.559
"tmin9",18.942,14.065,16.153,17.197,16.627,16.589,0.788,4.752
"tmin10",19.302,14.622,16.109,17.18,16.57,16.587,0.799,4.815
"tmax1",30.581,22.484,25.575,27.431,26.63,26.466,1.358,5.129
"tmax2",30.258,22.491,25.433,27.242,26.463,26.311,1.387,5.273
"tmax3",30.721,22.079,25.126,26.859,26.091,25.949,1.414,5.449
"tmax4",30.399,22.587,25.336,27.199,26.353,26.194,1.377,5.257
"tmax5",29.747,22.768,25.544,27.313,26.439,26.377,1.416,5.369
"tmax6",29.053,22.588,25.38,27.156,26.372,26.207,1.326,5.06
"tmax7",30.99,23.056,25.614,27.476,26.52,26.437,1.282,4.848
"tmax8",30.239,23.193,25.714,27.431,26.637,26.515,1.253,4.724
"tmax9",30.303,22.296,25.42,27.146,26.338,26.146,1.378,5.269
"tmax10",29.833,21.366,25.017,27.112,26.245,25.973,1.553,5.981
"tmean1",25.188,18.472,20.894,22.338,21.692,21.556,1.07,4.963
"tmean2",24.896,18.565,20.833,22.211,21.653,21.506,1.063,4.945
