"","SICA","year","DefectosTotales","ASNM","Luminosidad","prec1","prec2","prec3","prec4","prec5","prec6","prec7","prec8","prec9","prec10","tmin1","tmin2","tmin3","tmin4","tmin5","tmin6","tmin7","tmin8","tmin9","tmin10","tmax1","tmax2","tmax3","tmax4","tmax5","tmax6","tmax7","tmax8","tmax9","tmax10","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","dtr1","dtr2","dtr3","dtr4","dtr5","dtr6","dtr7","dtr8","dtr9","dtr10","PrecTotal","TminTotal","TmaxTotal","TmeanTotal","DtrTotal","PrecTotalAvg","TminTotalAvg","TmaxTotalAvg","TmeanTotalAvg","DtrTotalAvg","OrientationNum","Slope","pH_avg","org_avg","Franco","Arcilloso","Limoso","Arenoso","Cascajoso","PuntajeTotal"
"SICA",1,-0.0781939603108971,-0.246612954711192,0.698613126632909,-0.0181153261402709,-0.538377535646522,-0.132354520039209,0.292120568594259,0.402039694173415,0.295834105764408,0.0995271373809751,-0.199690029922702,-0.0836461454480421,0.181735244178231,0.0540751361237479,-0.688304197324078,-0.653399520193861,-0.65552281758922,-0.667868983009484,-0.645305957018338,-0.679616461698746,-0.725863183586915,-0.70256540200094,-0.691675294739586,-0.708557912585755,-0.631454878517457,-0.575314817251891,-0.702360424278652,-0.787227528201867,-0.73007330850207,-0.710332212031367,-0.638813250010672,-0.63850186093579,-0.76714696256896,-0.814416238278776,-0.674293240175651,-0.63190680353734,-0.689028567984435,-0.745549201414558,-0.719766585876622,-0.707262352017766,-0.680377955896148,-0.678837802582189,-0.743705888020311,-0.787982781684335,-0.104326194657265,0.113889479642869,-0.482418281087225,-0.667801732822993,-0.203265974668952,-0.307488449617088,-0.312295879942774,-0.151279503534643,-0.5903297909613,-0.674408190473603,0.0920589389189653,-0.690641912081248,-0.730259719051766,-0.718413388758278,-0.482568974381597,0.0920589389189654,-0.690641912081248,-0.730259719051767,-0.718413388758278,-0.482568974381597,0.64125778755335,0.107284454965573,-0.372268758106571,-0.318493238068322,-0.417278518114792,0.282035290892446,-0.417278518114792,0.417288467258827,-0.349972188001454,-0.213436786930789
"year",-0.0781939603108971,1,-0.84220323871568,0.469911694537355,-0.478091443733757,0.0695990642005602,-0.0723375741195897,-0.458758499971886,-0.871203877371533,-0.908045243013081,-0.917202094545408,-0.0866374239897476,0.295952732218421,-0.565514027167292,-0.989054709399728,-0.452179282451058,-0.408712834821641,-0.385463551433741,-0.417307668541569,-0.381619688841787,-0.269454908783401,-0.191531677791726,-0.15209595424034,-0.130304285389563,-0.123304283636509,-0.309619078165711,-0.423022967816252,-0.373000208531567,-0.203242328744425,0.0431292888074377,-0.00484113006691726,-0.27006483480198,-0.2604724805796,-0.0783817044729219,0.159494755726922,-0.384702663937718,-0.428408791976,-0.383085867398959,-0.303567417542731,-0.171426607721642,-0.131131364235299,-0.238343487150688,-0.214956976206657,-0.102953632354059,0.0429786622502391,0.173016066184369,-0.063037853126296,-0.16022163693986,0.358917203460025,0.714262454761042,0.656689801136841,-0.388942450582341,-0.359489882662018,0.0744334158742965,0.535944721710805,-0.709174490646898,-0.30712650047654,-0.183286289273377,-0.242626707929998,0.279608682080976,-0.709174490646898,-0.30712650047654,-0.183286289273376,-0.242626707929998,0.279608682080976,0.0319991757462423,-0.279929923734289,-0.275924792404523,0.220713837993275,-0.188982236504614,0.0597614304667197,-0.188982236504614,0.188982236504614,0.188982236504614,0.202590831838235
"DefectosTotales",-0.246612954711192,-0.84220323871568,1,-0.654697414189718,0.457618310593412,0.000488955695646051,0.106059040560538,0.289892626003726,0.550257743147726,0.684500915298397,0.71922048009122,0.158266335033763,-0.264321986338637,0.454246850333457,0.826887531995447,0.660189428412671,0.619545675830867,0.601124031862273,0.643222385422976,0.595510892877804,0.508268425791675,0.492593083276143,0.434821689326103,0.427157019012206,0.451929061957303,0.619685018099971,0.738236925895909,0.678596701557811,0.547552262951884,0.338405908441578,0.356278523784004,0.604085153178537,0.619079082869495,0.493990715866035,0.294547802873275,0.654517304224625,0.700302642199401,0.650903246962647,0.599622075717541,0.484705265187042,0.434580634017059,0.560557120677522,0.54468229526657,0.470650202761014,0.368116547400043,0.132260410585417,0.301797419970011,0.54891608743548,0.0767769877728116,-0.401672387169935,-0.262195390832195,0.727043858653478,0.692090032052885,0.421335902268089,-0.0576280950739528,0.554700505281052,0.559296780320762,0.553978211474702,0.561467439091188,0.260125302893864,0.554700505281052,0.559296780320762,0.553978211474702,0.561467439091188,0.260125302893863,-0.263097076132224,0.239009734170186,0.177099106242656,-0.0364276395279841,0.170778079785311,-0.350784859576043,0.170778079785311,-0.192824219956496,-0.172416669402487,-0.0796545630135452
"ASNM",0.698613126632909,0.469911694537355,-0.654697414189718,1,-0.322544025326147,-0.568474494017713,-0.293155811579983,-0.124885780752036,-0.150566444293113,-0.209345584622004,-0.450000918064392,-0.477490066912727,-0.141202627134147,-0.267459039622264,-0.519761302589976,-0.959478704092203,-0.971525509111534,-0.914928977485504,-0.955598036224206,-0.916855134371636,-0.893083945867388,-0.894793684102541,-0.889508359413991,-0.843995703034516,-0.829832685890628,-0.860386450556347,-0.830243462043819,-0.869577939929832,-0.885855604442374,-0.751120570584894,-0.795043267411386,-0.849387074725591,-0.814620883358399,-0.775078779036546,-0.692757843416961,-0.928956276000536,-0.926355284583777,-0.900581978770761,-0.931521082369938,-0.869445920467366,-0.854766624923633,-0.87459083279483,-0.862928362727296,-0.81704208180161,-0.766764714678377,-0.0998660832737129,0.22287680167189,-0.331639973409638,-0.308721958962734,0.214068665651423,-0.0147457776847065,-0.571921681964656,-0.208164330418426,-0.268408525260293,-0.223653037136514,-0.458261162124653,-0.924851689367716,-0.849209068184525,-0.892124770725852,-0.196599555210746,-0.458261162124653,-0.924851689367716,-0.849209068184525,-0.892124770725853,-0.196599555210746,0.479471383164115,0.203682413073619,-0.147270682601567,0.0699210795659693,-0.135004076689301,0.274982173579513,-0.135004076689301,0.530006498789745,-0.18607976349761,-0.155932791347367
"Luminosidad",-0.0181153261402709,-0.478091443733757,0.457618310593412,-0.322544025326147,1,0.0840246077237808,0.158251905297322,0.394155411186934,0.39748479970887,0.350708808072689,0.411760175006669,0.45832379146187,0.105406456865108,0.415501029538912,0.475076084628424,0.247289076533382,0.357243039434469,0.257482897512047,0.278613510634106,0.246798895811624,0.251969598681678,0.236317673865479,0.218130960235225,0.205447266029059,0.202299046084871,0.351140030369748,0.297032481900722,0.23538341610645,0.212226933353439,0.149535639015728,0.214087755730722,0.316309782386267,0.273085408781755,0.114209784718692,-0.00229809311978593,0.311085097673082,0.336299253108357,0.248292297643121,0.245702644845575,0.205850558254734,0.235646325127346,0.284280389829413,0.252395795544166,0.15705940837967,0.0845725321443197,0.322799948710097,-0.0995162389773014,0.0645197095915852,-0.0338275164208798,-0.150142433815948,-0.024591002199974,0.428837869001759,0.247015274931826,-0.143663701184997,-0.316744100387011,0.495794120564081,0.256742956227973,0.226491793080122,0.242631286559561,0.0222521581656789,0.495794120564081,0.256742956227972,0.226491793080122,0.242631286559561,0.0222521581656783,-0.392534978712297,-0.493685877205953,0.405113718741176,0.172340807393769,0.395284707521047,-0.8,0.395284707521047,0.316227766016838,-0.395284707521047,0.1529630994495
"prec1",-0.538377535646522,0.0695990642005602,0.000488955695646051,-0.568474494017713,0.0840246077237808,1,0.169645374948665,-0.130268677082468,-0.336771354329125,-0.154951991964481,0.105815569403031,0.703676146375882,0.353300073650196,-0.0764530899927337,-0.0405248047303871,0.640690199496194,0.624289999178084,0.717520942956718,0.604223626116515,0.669356531241667,0.730164130098608,0.698735933675568,0.704411136312539,0.727689229124754,0.660759507112125,0.474967582657478,0.358413022308874,0.627083994749992,0.70165439610627,0.588094715461386,0.630544237922979,0.556400593351815,0.52351125088934,0.606779858636762,0.608248796625209,0.565171034797653,0.503384378296514,0.675984266109318,0.668568145594838,0.65601677259676,0.68833912722048,0.621031426341052,0.615725784352568,0.669909816062737,0.644404784601045,-0.161876121983889,-0.515499016784063,0.0907577195967368,0.575783925062749,-0.0864608012177893,-0.042695882408664,0.123837940800781,-0.160155770813944,0.0588307888321969,0.300921384985345,0.156791903160991,0.687706069257872,0.594698161309577,0.643399639982203,0.0177579378603921,0.156791903160991,0.687706069257872,0.594698161309577,0.643399639982203,0.0177579378603914,-0.72528944495347,-0.500621265944377,0.0537750949655969,-0.456210942113354,-0.0519228808176389,-0.0736219327654261,-0.0519228808176389,-0.484169847945494,-0.228314497819411,0.317271028074328
"prec2",-0.132354520039209,-0.0723375741195897,0.106059040560538,-0.293155811579983,0.158251905297322,0.169645374948665,1,0.822515317023315,0.164472938858541,-0.171977262584164,-0.125248523279231,0.658235308779592,0.872559670469872,0.813003329854028,0.202181318241992,0.35640677094289,0.429193000156131,0.385535953193038,0.410944981315874,0.353408923175764,0.483864205073594,0.430193570277959,0.420275054699495,0.454428515699264,0.526606798283591,0.603048636681093,0.357108544472357,0.17145760999236,0.293232294063928,0.572747593866733,0.541647328590422,0.451622467470677,0.415496553435925,0.331436977788675,0.261792993430018,0.502057541186719,0.404163623268133,0.271880801435414,0.351273723234748,0.486758234257004,0.522917079056309,0.445546266169919,0.424739999390483,0.391672624314154,0.380258649265911,0.687857016099477,-0.119021336785226,-0.461907688927035,-0.10312302335522,0.415171400911492,0.31994730003368,0.405607058523701,0.180153828071822,-0.0965457816837311,-0.243753269097989,0.697778101359701,0.4282419613777,0.413279479984302,0.423987636728954,0.161126128033695,0.697778101359701,0.4282419613777,0.413279479984302,0.423987636728955,0.161126128033696,0.139851584415496,-0.308048772433406,-0.428940402617004,-0.319331235797931,-0.461230832511072,-0.186652229793407,-0.461230832511072,-0.0924786293465675,0.127683618271627,-0.496582799895736
"prec3",0.292120568594259,-0.458758499971886,0.289892626003726,-0.124885780752036,0.394155411186934,-0.130268677082468,0.822515317023315,1,0.642588203127396,0.308462542881041,0.267478111334096,0.499689527589938,0.604157184068164,0.98081738401179,0.554637420729639,0.168428703613434,0.236274869971224,0.179590555781905,0.216001438920866,0.161981775644943,0.217104961099579,0.125792509180716,0.111888683558888,0.136118819962156,0.190584868116831,0.365353312495266,0.223873592182415,-0.0206082613204566,-0.0151476524755463,0.164246754083643,0.166281129476313,0.216122815738411,0.180457544308124,-0.0196181298737053,-0.184519685889636,0.281771206251411,0.236812216981662,0.0711912653450671,0.0894685792579331,0.17049367219684,0.193232985398004,0.178991209434828,0.151925803437302,0.0505343793073309,-0.029357440260224,0.509577212477598,-0.00751535331753784,-0.525228787668939,-0.509398913597225,0.017612708735993,-0.0723386092627989,0.37247655463306,0.23463447781637,-0.362639878400461,-0.693905349648956,0.893209335773289,0.178927060159383,0.109971113050422,0.143084223053057,-0.151745983088135,0.893209335773289,0.178927060159382,0.109971113050421,0.143084223053058,-0.151745983088134,0.342046606866215,-0.171962083303692,-0.312491281386229,-0.384155560268946,-0.377899190361861,-0.153108839861209,-0.377899190361861,0.0503202968158877,-0.103100368888214,-0.536566773652032
"prec4",0.402039694173415,-0.871203877371533,0.550257743147726,-0.150566444293113,0.39748479970887,-0.336771354329125,0.164472938858541,0.642588203127396,1,0.865588679542298,0.798773604507644,-0.0288768077076603,-0.144858191772023,0.674106122814798,0.886591852111794,0.128745195062761,0.117814505160606,0.065372826310856,0.126860172197109,0.0940137597341207,-0.0175664424451417,-0.110859337874889,-0.119913920989428,-0.148817740149701,-0.153088431871942,0.0535317941931338,0.163004460083423,-0.0123573497955391,-0.177151412757057,-0.291702633287563,-0.241307551221636,-0.0149717826200329,-0.0334576044136633,-0.268950177579115,-0.485243715124149,0.0903570329190166,0.145040971388532,0.0232345006123415,-0.0420478679976908,-0.108243903354351,-0.138525130346627,-0.0560557449197409,-0.0738557659735652,-0.218372135627151,-0.355174377616771,-0.128751075345324,0.105483900350699,-0.206173260946893,-0.751623681407969,-0.669878872475616,-0.635088076687015,0.201733145112765,0.176036015582348,-0.418625682028207,-0.816504336786717,0.733891744233597,0.00848985146754775,-0.134566160605838,-0.0691511095547018,-0.495557499318176,0.733891744233597,0.00848985146754704,-0.134566160605838,-0.0691511095547013,-0.495557499318176,0.378133567942969,0.213818192143135,0.120520354646096,-0.230467644344353,0.0488603680389957,0.10006591203761,0.0488603680389957,-0.116492796409586,-0.0989929200380467,-0.26491665500051
"prec5",0.295834105764408,-0.908045243013081,0.684500915298397,-0.209345584622004,0.350708808072689,-0.154951991964481,-0.171977262584164,0.308462542881041,0.865588679542298,1,0.953551664379283,-0.0733318218873555,-0.440373372361547,0.397663046246866,0.866777382863126,0.244609476801711,0.164813384602619,0.203476494826507,0.207435041615531,0.22688580763091,0.0681640066326131,-0.0125763725681098,-0.0390512531820538,-0.0468607294169612,-0.0844882738993087,0.0473226441139956,0.277306446359263,0.236192605565304,0.0024599388457816,-0.277289807700917,-0.217596593524421,0.0859082579103772,0.0985367743210122,-0.0883492290044621,-0.317527127216476,0.141552729664714,0.228758899786114,0.223909804310941,0.0954819131482971,-0.0328014289465656,-0.0848464463784189,0.0444028813456358,0.0368187852904432,-0.0708186595552305,-0.225749232549385,-0.369481602311071,0.252334924204492,0.205838703247007,-0.443464617710319,-0.866855753114158,-0.781656920704872,0.287457165937318,0.349821554554732,-0.14209415278608,-0.558468748038913,0.554446165714289,0.106227602818513,-0.0120472812319284,0.0429337080771101,-0.360276480496375,0.554446165714289,0.106227602818513,-0.012047281231929,0.0429337080771103,-0.360276480496376,0.0673493070802456,0.283549845138053,0.230481034689436,-0.303059852529552,0.15099437831893,0.0897413009962905,0.15099437831893,-0.259129255181731,-0.376631624004581,0.0177167364995696
